batch_id,toy_id,toy_name,toy_category,elf_team_id,production_timestamp,production_date,paint_quality,assembly_score,safety_check_passed,defect_count,materials_plastic_kg,materials_wood_kg,materials_metal_kg,materials_fabric_kg,production_time_minutes,predicted_popularity_score,carbon_footprint_kg,quality_tier,workshop_location,shift
BATCH_2025_000615,TOY_BUI_6700,LEGO Castle Set,BUILDING,Team_C,2025-10-27 19:41:24.658050,2025-11-02,0.958,0.976,True,0,1.03,0.86,0.01,0.1,76.3,0.866,1.9,PREMIUM,East_Workshop,AFTERNOON
BATCH_2025_000962,TOY_EDU_3357,Robot Kit,EDUCATIONAL,Team_A,2025-10-27 20:08:43.151540,2025-11-12,0.935,0.985,True,0,0.24,0.32,0.3,0.18,12.6,0.596,3.54,PREMIUM,West_Workshop,MORNING
BATCH_2025_000204,TOY_VEH_1113,Toy Airplane,VEHICLES,Team_J,2025-10-27 20:22:53.515063,2025-11-02,0.822,0.859,False,2,1.84,0.81,0.11,0.2,15.1,0.977,0.64,STANDARD,East_Workshop,MORNING
BATCH_2025_000100,TOY_VEH_7040,Toy Airplane,VEHICLES,Team_C,2025-10-27 20:27:56.662689,2025-11-20,0.825,0.88,True,0,0.28,0.97,0.17,0.28,12.4,0.67,2.18,PREMIUM,North_Workshop,MORNING
BATCH_2025_000963,TOY_EDU_6570,Coding Game,EDUCATIONAL,Team_D,2025-10-27 20:29:13.759416,2025-11-09,0.9,0.913,True,0,0.15,0.85,0.24,0.07,111.2,0.592,2.23,STANDARD,East_Workshop,MORNING
BATCH_2025_000449,TOY_DOL_5513,Baby Doll Set,DOLLS,Team_H,2025-10-27 21:01:40.439835,2025-11-04,0.738,0.676,True,2,0.74,0.3,0.47,0.17,25.2,0.813,0.6,ECONOMY,North_Workshop,NIGHT
BATCH_2025_000690,TOY_EDU_6707,Chemistry Set,EDUCATIONAL,Team_D,2025-10-27 22:07:10.017567,2025-11-19,0.801,0.731,True,1,0.56,0.97,0.09,0.13,79.6,0.907,2.36,STANDARD,North_Workshop,AFTERNOON
BATCH_2025_000805,TOY_EDU_4182,Microscope,EDUCATIONAL,Team_I,2025-10-28 00:01:04.802243,2025-11-12,0.839,0.863,True,0,0.4,0.19,0.08,0.16,34.5,0.761,4.04,PREMIUM,South_Workshop,NIGHT
BATCH_2025_000554,TOY_EDU_7047,Chemistry Set,EDUCATIONAL,Team_I,2025-10-28 00:09:42.982171,2025-10-29,0.719,0.73,True,2,0.77,0.49,0.28,0.12,91.2,0.691,4.81,STANDARD,North_Workshop,AFTERNOON
BATCH_2025_000895,TOY_DOL_8618,Barbie Dreamhouse,DOLLS,Team_H,2025-10-28 01:00:08.429273,2025-10-28,0.785,0.86,True,2,0.74,0.91,0.07,0.04,62.6,0.737,4.74,STANDARD,South_Workshop,AFTERNOON
BATCH_2025_000034,TOY_BUI_5345,K'NEX Set,BUILDING,Team_D,2025-10-28 01:17:18.707083,2025-11-04,0.89,0.881,True,3,1.22,0.54,0.34,0.09,93.2,0.548,1.02,STANDARD,South_Workshop,MORNING
BATCH_2025_000485,TOY_VEH_2900,Train Set,VEHICLES,Team_C,2025-10-28 01:17:34.821841,2025-10-26,0.876,0.978,True,0,0.79,0.31,0.21,0.07,110.7,0.968,2.5,PREMIUM,West_Workshop,NIGHT
BATCH_2025_000858,TOY_EDU_1183,Microscope,EDUCATIONAL,Team_B,2025-10-28 01:51:32.649695,2025-10-31,0.972,0.929,True,1,1.69,0.06,0.43,0.15,46.4,0.861,4.4,STANDARD,West_Workshop,MORNING
BATCH_2025_000012,TOY_GAM_4642,Chess Set,GAMES,Team_E,2025-10-28 02:21:51.451854,2025-11-02,0.834,0.726,True,3,1.23,0.18,0.06,0.25,85.5,0.694,4.2,STANDARD,West_Workshop,MORNING
BATCH_2025_000605,TOY_BUI_4546,LEGO Castle Set,BUILDING,Team_B,2025-10-28 02:28:45.768959,2025-11-09,0.912,0.772,True,2,0.55,0.93,0.27,0.24,110.8,0.928,3.29,STANDARD,West_Workshop,MORNING
BATCH_2025_000265,TOY_EDU_4202,Coding Game,EDUCATIONAL,Team_J,2025-10-28 03:17:14.393690,2025-11-06,0.96,0.861,True,2,0.61,0.68,0.12,0.17,45.1,0.879,4.08,STANDARD,East_Workshop,MORNING
BATCH_2025_000467,TOY_BUI_5580,LEGO Castle Set,BUILDING,Team_I,2025-10-28 03:40:08.960100,2025-11-06,0.883,0.751,True,0,1.75,0.87,0.11,0.16,86.2,0.957,3.4,STANDARD,East_Workshop,MORNING
BATCH_2025_000341,TOY_DOL_5107,Baby Doll Set,DOLLS,Team_B,2025-10-28 04:38:23.539414,2025-10-29,0.854,0.744,True,2,0.22,0.54,0.08,0.16,68.3,0.961,1.58,STANDARD,East_Workshop,MORNING
BATCH_2025_000639,TOY_BUI_6336,K'NEX Set,BUILDING,Team_F,2025-10-28 04:40:01.704575,2025-11-05,0.957,0.822,True,0,1.59,0.17,0.45,0.01,104.4,0.771,2.84,PREMIUM,South_Workshop,AFTERNOON
BATCH_2025_000432,TOY_VEH_2855,Toy Airplane,VEHICLES,Team_J,2025-10-28 05:11:49.812194,2025-11-01,0.742,0.827,True,3,0.22,0.44,0.42,0.1,47.3,0.625,2.65,ECONOMY,East_Workshop,MORNING
BATCH_2025_000120,TOY_EDU_7319,Coding Game,EDUCATIONAL,Team_I,2025-10-28 05:49:42.906338,2025-11-19,0.666,0.832,True,2,0.91,0.66,0.37,0.27,43.6,0.514,2.71,ECONOMY,South_Workshop,NIGHT
BATCH_2025_000482,TOY_BUI_1460,Wooden Block Set,BUILDING,Team_C,2025-10-28 06:00:33.723637,2025-11-09,0.937,0.957,True,3,1.01,0.1,0.2,0.1,56.6,0.584,3.12,STANDARD,South_Workshop,AFTERNOON
BATCH_2025_000347,TOY_GAM_8070,Chess Set,GAMES,Team_C,2025-10-28 07:51:34.630562,2025-11-23,1.028,1.025,True,0,0.79,0.32,0.04,0.23,68.7,0.666,3.27,PREMIUM,West_Workshop,MORNING
BATCH_2025_000397,TOY_GAM_4213,Video Game,GAMES,Team_C,2025-10-28 08:44:50.431982,2025-11-03,0.786,0.895,True,1,1.91,0.44,0.08,0.07,69.3,0.541,1.28,STANDARD,East_Workshop,MORNING
BATCH_2025_000702,TOY_DOL_7136,Baby Doll Set,DOLLS,Team_G,2025-10-28 08:57:56.585201,2025-11-24,0.808,0.828,True,0,0.66,0.23,0.35,0.26,52.6,0.81,2.53,STANDARD,West_Workshop,AFTERNOON
BATCH_2025_000630,TOY_EDU_4649,Chemistry Set,EDUCATIONAL,Team_J,2025-10-28 09:09:55.991813,2025-11-08,0.75,0.73,True,0,2.0,0.7,0.49,0.19,85.4,0.717,4.29,STANDARD,North_Workshop,MORNING
BATCH_2025_000246,TOY_GAM_1038,Chess Set,GAMES,Team_B,2025-10-28 10:19:43.427010,2025-10-27,0.945,0.965,True,0,0.25,0.22,0.25,0.11,13.4,0.814,1.58,STANDARD,North_Workshop,AFTERNOON
BATCH_2025_000976,TOY_EDU_4938,Robot Kit,EDUCATIONAL,Team_I,2025-10-28 10:31:42.438663,2025-10-29,0.745,0.862,True,1,0.73,0.86,0.15,0.18,102.0,0.841,4.29,STANDARD,North_Workshop,AFTERNOON
BATCH_2025_000842,TOY_DOL_3887,Barbie Dreamhouse,DOLLS,Team_D,2025-10-28 11:36:59.671465,2025-11-18,0.868,0.871,True,2,0.68,0.22,0.36,0.07,84.3,0.721,1.54,STANDARD,North_Workshop,NIGHT
BATCH_2025_000597,TOY_VEH_6858,Remote Control Car,VEHICLES,Team_A,2025-10-28 12:53:24.161239,2025-11-05,0.982,0.873,True,3,1.99,0.91,0.13,0.09,73.3,0.653,3.52,STANDARD,East_Workshop,MORNING
BATCH_2025_000558,TOY_BUI_2990,LEGO Castle Set,BUILDING,Team_H,2025-10-28 12:55:50.129510,2025-11-07,0.851,0.758,True,3,0.92,0.08,0.42,0.14,93.4,0.555,3.84,STANDARD,North_Workshop,MORNING
BATCH_2025_000356,TOY_GAM_5358,Puzzle 1000pc,GAMES,Team_C,2025-10-28 12:58:03.649579,2025-10-31,0.846,0.789,True,0,0.46,0.99,0.26,0.19,100.3,0.644,2.35,STANDARD,South_Workshop,MORNING
BATCH_2025_000917,TOY_BUI_4065,K'NEX Set,BUILDING,Team_E,2025-10-28 13:34:59.637288,2025-11-12,0.852,0.932,True,2,0.88,0.28,0.05,0.28,28.6,0.552,3.76,STANDARD,East_Workshop,AFTERNOON
BATCH_2025_000240,TOY_GAM_8181,Monopoly,GAMES,Team_I,2025-10-28 14:02:14.512903,2025-11-22,0.646,0.676,True,3,0.82,0.31,0.28,0.13,85.3,0.502,4.85,ECONOMY,East_Workshop,MORNING
BATCH_2025_000518,TOY_BUI_6719,Magnetic Tiles,BUILDING,Team_I,2025-10-28 14:37:22.901920,2025-11-18,0.872,0.988,False,0,0.24,0.25,0.39,0.29,49.5,0.76,0.53,PREMIUM,North_Workshop,MORNING
BATCH_2025_000624,TOY_EDU_2702,Coding Game,EDUCATIONAL,Team_J,2025-10-28 15:19:34.380065,2025-11-19,0.917,0.859,True,0,1.18,0.62,0.34,0.16,39.8,0.71,0.81,PREMIUM,South_Workshop,MORNING
BATCH_2025_000978,TOY_GAM_3007,Chess Set,GAMES,Team_B,2025-10-28 15:40:30.613663,2025-11-10,0.887,0.951,True,0,0.9,0.03,0.27,0.22,112.2,0.527,3.51,PREMIUM,East_Workshop,NIGHT
BATCH_2025_000216,TOY_EDU_7561,Robot Kit,EDUCATIONAL,Team_F,2025-10-28 16:56:43.468340,2025-11-03,0.851,0.907,True,0,1.05,0.37,0.35,0.11,72.6,0.552,0.84,PREMIUM,South_Workshop,AFTERNOON
BATCH_2025_000417,TOY_GAM_7207,Monopoly,GAMES,Team_B,2025-10-28 17:25:05.391603,2025-11-12,0.707,0.795,True,1,1.35,0.67,0.12,0.23,53.4,0.93,4.62,STANDARD,East_Workshop,AFTERNOON
BATCH_2025_000621,TOY_DOL_5865,Barbie Dreamhouse,DOLLS,Team_G,2025-10-28 17:47:43.807588,2025-11-09,0.936,0.821,True,3,1.31,0.86,0.42,0.25,114.6,0.667,4.32,STANDARD,West_Workshop,MORNING
BATCH_2025_000568,TOY_GAM_6159,Monopoly,GAMES,Team_I,2025-10-28 18:09:23.579805,2025-10-30,0.955,0.802,True,1,1.03,0.53,0.01,0.25,56.8,0.684,4.99,STANDARD,North_Workshop,NIGHT
BATCH_2025_000452,TOY_DOL_1571,Barbie Dreamhouse,DOLLS,Team_E,2025-10-28 18:34:06.995499,2025-11-20,0.903,0.949,True,0,1.14,0.27,0.49,0.27,70.5,0.88,4.1,PREMIUM,West_Workshop,AFTERNOON
BATCH_2025_000372,TOY_EDU_3643,Coding Game,EDUCATIONAL,Team_C,2025-10-28 20:01:34.338726,2025-11-14,0.904,0.858,True,2,0.39,0.92,0.37,0.08,74.8,0.743,4.2,STANDARD,South_Workshop,AFTERNOON
BATCH_2025_000036,TOY_VEH_8399,Hot Wheels Track,VEHICLES,Team_E,2025-10-28 20:48:16.787967,2025-10-31,0.906,0.925,True,3,0.51,0.7,0.25,0.29,25.8,0.874,4.96,STANDARD,South_Workshop,AFTERNOON
BATCH_2025_000502,TOY_BUI_8460,Magnetic Tiles,BUILDING,Team_B,2025-10-28 20:49:18.776731,2025-11-07,0.918,0.918,True,0,1.96,0.66,0.5,0.04,115.5,0.897,1.52,STANDARD,North_Workshop,NIGHT
BATCH_2025_000299,TOY_VEH_1712,Toy Airplane,VEHICLES,Team_J,2025-10-28 21:12:31.346317,2025-11-02,0.871,0.781,True,2,1.82,0.74,0.45,0.21,16.3,0.846,3.5,STANDARD,West_Workshop,AFTERNOON
BATCH_2025_000788,TOY_EDU_4865,Robot Kit,EDUCATIONAL,Team_E,2025-10-28 21:28:47.638329,2025-11-15,0.698,0.776,True,2,1.42,0.06,0.37,0.09,45.1,0.75,4.63,ECONOMY,West_Workshop,MORNING
BATCH_2025_000013,TOY_BUI_6084,LEGO Castle Set,BUILDING,Team_G,2025-10-28 21:56:04.334332,2025-11-21,0.787,0.739,False,2,1.22,0.06,0.24,0.08,40.4,0.715,4.61,STANDARD,North_Workshop,NIGHT
BATCH_2025_000540,TOY_EDU_8089,Coding Game,EDUCATIONAL,Team_J,2025-10-28 22:09:42.449258,2025-11-04,0.946,0.939,True,0,0.65,0.19,0.34,0.22,49.3,0.931,3.86,PREMIUM,East_Workshop,MORNING
BATCH_2025_000939,TOY_VEH_7720,Remote Control Car,VEHICLES,Team_I,2025-10-28 22:13:57.897909,2025-10-30,0.86,0.774,True,0,0.86,0.54,0.28,0.19,109.3,0.627,3.98,STANDARD,North_Workshop,MORNING
BATCH_2025_000351,TOY_VEH_2108,Remote Control Car,VEHICLES,Team_A,2025-10-28 23:17:47.834898,2025-11-03,0.876,0.889,True,2,0.15,0.24,0.33,0.3,80.3,0.875,4.28,STANDARD,West_Workshop,AFTERNOON
BATCH_2025_000295,TOY_BUI_1879,Wooden Block Set,BUILDING,Team_G,2025-10-28 23:42:13.024446,2025-11-14,0.888,0.94,True,2,0.42,0.03,0.11,0.24,115.4,0.754,1.43,STANDARD,West_Workshop,MORNING
BATCH_2025_000580,TOY_GAM_9880,Monopoly,GAMES,Team_C,2025-10-29 01:39:00.838943,2025-10-27,0.687,0.728,True,3,0.79,0.52,0.46,0.04,10.3,0.754,3.31,ECONOMY,West_Workshop,MORNING
BATCH_2025_000734,TOY_EDU_9108,Robot Kit,EDUCATIONAL,Team_D,2025-10-29 02:13:43.248052,2025-10-31,0.867,0.752,True,2,1.67,0.78,0.01,0.14,79.9,0.787,0.86,STANDARD,North_Workshop,MORNING
BATCH_2025_000392,TOY_GAM_5316,Puzzle 1000pc,GAMES,Team_J,2025-10-29 02:50:26.313350,2025-11-10,0.967,0.931,True,1,0.84,0.86,0.07,0.07,18.7,0.922,3.85,STANDARD,East_Workshop,AFTERNOON
BATCH_2025_000666,TOY_GAM_7958,Chess Set,GAMES,Team_E,2025-10-29 02:59:48.237142,2025-11-02,0.919,0.982,True,0,0.58,0.41,0.05,0.29,77.1,0.783,4.73,PREMIUM,East_Workshop,AFTERNOON
BATCH_2025_000948,TOY_EDU_5419,Microscope,EDUCATIONAL,Team_D,2025-10-29 03:17:53.599646,2025-11-10,0.74,0.724,True,1,1.05,0.1,0.23,0.03,98.8,0.685,1.45,ECONOMY,East_Workshop,NIGHT
BATCH_2025_000808,TOY_VEH_4099,Toy Airplane,VEHICLES,Team_D,2025-10-29 03:45:43.937016,2025-11-17,1.001,0.964,True,0,1.85,0.86,0.28,0.24,107.3,0.932,1.43,PREMIUM,West_Workshop,NIGHT
BATCH_2025_000468,TOY_BUI_4948,LEGO Castle Set,BUILDING,Team_J,2025-10-29 04:27:49.059781,2025-11-04,0.803,0.888,True,1,0.59,0.09,0.16,0.24,12.4,0.689,2.42,STANDARD,West_Workshop,MORNING
BATCH_2025_000154,TOY_GAM_5273,Chess Set,GAMES,Team_C,2025-10-29 05:03:30.756444,2025-10-27,0.726,0.783,True,3,1.75,0.96,0.5,0.06,115.1,0.839,1.47,ECONOMY,North_Workshop,MORNING
BATCH_2025_000884,TOY_BUI_7328,Wooden Block Set,BUILDING,Team_B,2025-10-29 06:08:16.893265,2025-11-17,0.912,0.82,True,0,0.62,0.82,0.15,0.2,89.6,0.885,3.83,PREMIUM,South_Workshop,NIGHT
BATCH_2025_000030,TOY_BUI_7200,LEGO Castle Set,BUILDING,Team_C,2025-10-29 06:48:57.238461,2025-11-07,0.887,0.868,True,2,0.19,0.06,0.18,0.28,114.7,0.603,3.73,STANDARD,South_Workshop,AFTERNOON
BATCH_2025_000170,TOY_VEH_2883,Toy Airplane,VEHICLES,Team_A,2025-10-29 06:56:08.871454,2025-11-05,0.937,0.841,True,0,0.54,0.16,0.23,0.01,41.4,0.647,4.04,STANDARD,North_Workshop,AFTERNOON
BATCH_2025_000598,TOY_GAM_6240,Puzzle 1000pc,GAMES,Team_D,2025-10-29 07:42:23.790515,2025-11-07,0.675,0.796,True,2,0.25,1.0,0.01,0.15,87.1,0.939,1.37,ECONOMY,West_Workshop,AFTERNOON
BATCH_2025_000950,TOY_DOL_5533,Baby Doll Set,DOLLS,Team_B,2025-10-29 07:51:15.791783,2025-11-23,0.787,0.738,True,2,1.83,0.09,0.45,0.21,39.0,0.955,2.1,STANDARD,East_Workshop,NIGHT
BATCH_2025_000459,TOY_BUI_4151,Wooden Block Set,BUILDING,Team_H,2025-10-29 09:24:47.614986,2025-11-11,0.892,0.922,True,0,0.41,0.9,0.41,0.2,10.3,0.901,1.77,PREMIUM,North_Workshop,AFTERNOON
BATCH_2025_000253,TOY_GAM_3713,Puzzle 1000pc,GAMES,Team_I,2025-10-29 10:53:12.995418,2025-11-11,1.009,0.967,True,0,0.83,0.68,0.05,0.23,54.1,0.753,1.01,PREMIUM,West_Workshop,AFTERNOON
BATCH_2025_000091,TOY_DOL_4461,Barbie Dreamhouse,DOLLS,Team_I,2025-10-29 11:12:11.279726,2025-11-16,0.827,0.958,True,0,1.53,0.41,0.23,0.12,92.3,0.636,4.29,STANDARD,South_Workshop,NIGHT
BATCH_2025_000857,TOY_EDU_6918,Microscope,EDUCATIONAL,Team_J,2025-10-29 11:38:35.163388,2025-11-23,0.853,0.829,True,1,0.44,0.05,0.29,0.13,46.5,0.943,2.73,STANDARD,West_Workshop,AFTERNOON
BATCH_2025_000549,TOY_DOL_3589,Barbie Dreamhouse,DOLLS,Team_C,2025-10-29 13:44:31.398844,2025-11-02,1.038,0.984,True,0,1.97,0.42,0.1,0.11,39.7,0.846,2.42,PREMIUM,West_Workshop,MORNING
BATCH_2025_000292,TOY_VEH_1827,Remote Control Car,VEHICLES,Team_C,2025-10-29 13:55:12.416374,2025-11-17,0.709,0.673,True,1,0.55,0.05,0.31,0.23,31.1,0.625,3.44,ECONOMY,North_Workshop,MORNING
BATCH_2025_000932,TOY_VEH_2531,Toy Airplane,VEHICLES,Team_I,2025-10-29 14:04:02.461201,2025-11-22,0.637,0.802,True,0,0.96,0.19,0.29,0.17,19.6,0.632,2.3,ECONOMY,East_Workshop,MORNING
BATCH_2025_000879,TOY_EDU_7746,Coding Game,EDUCATIONAL,Team_E,2025-10-29 14:43:25.403749,2025-11-01,0.723,0.753,True,0,1.4,0.57,0.11,0.22,13.5,0.667,3.94,ECONOMY,West_Workshop,NIGHT
BATCH_2025_000708,TOY_GAM_4305,Video Game,GAMES,Team_C,2025-10-29 14:49:44.069970,2025-11-17,0.926,0.808,True,3,1.01,0.47,0.29,0.14,46.1,0.726,4.92,STANDARD,South_Workshop,MORNING
BATCH_2025_000825,TOY_VEH_9275,Remote Control Car,VEHICLES,Team_B,2025-10-29 15:11:39.879170,2025-11-01,0.641,0.751,True,0,1.99,0.59,0.33,0.25,80.7,0.758,2.51,ECONOMY,East_Workshop,NIGHT
BATCH_2025_000282,TOY_VEH_3140,Remote Control Car,VEHICLES,Team_E,2025-10-29 15:13:04.572221,2025-11-20,0.827,0.817,True,1,0.71,0.37,0.17,0.24,80.5,0.735,2.54,STANDARD,East_Workshop,MORNING
BATCH_2025_000559,TOY_GAM_3933,Video Game,GAMES,Team_I,2025-10-29 15:14:15.466189,2025-11-08,0.823,0.84,True,0,1.11,0.43,0.24,0.24,57.7,0.744,3.6,STANDARD,South_Workshop,MORNING
BATCH_2025_000224,TOY_BUI_9670,Wooden Block Set,BUILDING,Team_E,2025-10-29 19:29:50.737728,2025-11-18,0.903,1.055,True,0,0.63,0.01,0.48,0.18,91.1,0.623,1.33,PREMIUM,North_Workshop,NIGHT
BATCH_2025_000310,TOY_GAM_7767,Puzzle 1000pc,GAMES,Team_C,2025-10-29 21:05:17.462951,2025-11-05,0.884,0.864,True,0,1.45,0.09,0.47,0.15,18.6,0.742,3.21,STANDARD,South_Workshop,NIGHT
