reindeer_id,reindeer_name,timestamp,heart_rate,altitude_feet,speed_mph,body_temperature,hoof_pressure_fl,hoof_pressure_fr,hoof_pressure_rl,hoof_pressure_rr,energy_efficiency,formation_position,cargo_weight_lbs,wind_speed_mph,visibility,aurora_interference,nose_luminosity,flight_status,training_type
DASHER-001,Dasher,2025-10-26 16:30:30.978487,85,0.0,0.0,101.6,123,127,117,113,0.853,1,0,17,0.83,0.07,0.0,RESTING,speed
RUDOLPH-001,Rudolph,2025-10-26 16:34:30.978487,63,0.0,0.0,101.2,121,124,113,114,0.886,9,0,46,0.38,0.27,80.3,RESTING,endurance
DANCER-001,Dancer,2025-10-26 16:38:30.978487,61,0.0,0.0,99.6,113,117,111,124,0.914,2,0,21,0.36,0.04,0.0,RESTING,navigation
RUDOLPH-001,Rudolph,2025-10-26 16:41:30.978487,147,2968.1,72.0,100.8,110,110,128,123,0.792,9,3177,33,0.77,0.36,88.0,FLYING,formation
COMET-001,Comet,2025-10-26 16:46:30.978487,161,1818.2,93.7,98.8,116,129,122,115,0.939,5,4766,28,0.95,0.67,0.0,FLYING,formation
PRANCER-001,Prancer,2025-10-26 16:50:30.978487,78,0.0,0.0,98.3,117,114,125,110,0.757,3,0,17,0.58,0.34,0.0,RESTING,navigation
DASHER-001,Dasher,2025-10-26 16:53:30.978487,177,4180.4,63.0,99.9,124,113,118,111,0.755,1,3683,16,0.71,0.44,0.0,FLYING,weather
COMET-001,Comet,2025-10-26 16:54:30.978487,144,2260.2,100.1,99.3,115,111,118,129,0.89,5,1155,37,0.51,0.66,0.0,FLYING,formation
RUDOLPH-001,Rudolph,2025-10-26 16:58:30.978487,177,3555.5,98.9,99.8,113,123,122,129,0.878,9,2198,6,0.59,0.31,84.0,FLYING,endurance
VIXEN-001,Vixen,2025-10-26 17:00:30.978487,176,4810.2,89.1,99.1,117,115,120,123,0.792,4,4018,44,0.98,0.54,0.0,FLYING,weather
DANCER-001,Dancer,2025-10-26 17:03:30.978487,156,2784.3,60.9,98.7,123,114,110,116,0.857,2,3111,29,0.87,0.43,0.0,FLYING,speed
DANCER-001,Dancer,2025-10-26 17:04:30.978487,141,4364.1,99.6,100.5,130,118,113,127,0.967,2,4273,5,0.46,0.55,0.0,FLYING,weather
RUDOLPH-001,Rudolph,2025-10-26 17:09:30.978487,149,4539.8,106.8,101.6,112,124,110,127,0.866,9,3407,18,0.95,0.41,89.0,FLYING,endurance
DONNER-001,Donner,2025-10-26 17:14:30.978487,147,2216.5,68.3,99.8,121,126,126,117,0.881,7,2803,32,0.56,0.75,0.0,FLYING,weather
DASHER-001,Dasher,2025-10-26 17:16:30.978487,170,2038.0,62.8,99.3,112,115,116,122,0.88,1,2226,38,0.58,0.61,0.0,FLYING,endurance
RUDOLPH-001,Rudolph,2025-10-26 17:18:30.978487,178,3697.4,95.4,100.7,127,126,114,124,0.917,9,2606,37,0.96,0.54,95.8,FLYING,formation
COMET-001,Comet,2025-10-26 17:19:30.978487,71,0.0,0.0,98.9,113,118,112,128,0.847,5,0,22,0.6,0.4,0.0,RESTING,weather
PRANCER-001,Prancer,2025-10-26 17:21:30.978487,175,3696.8,108.5,100.2,120,122,121,113,0.929,3,2885,37,0.86,0.64,0.0,FLYING,formation
COMET-001,Comet,2025-10-26 17:23:30.978487,180,4539.1,115.6,99.1,129,122,122,127,0.807,5,2084,39,0.6,0.21,0.0,FLYING,weather
PRANCER-001,Prancer,2025-10-26 17:26:30.978487,60,0.0,0.0,98.6,120,113,122,114,0.787,3,0,22,0.71,0.19,0.0,RESTING,formation
RUDOLPH-001,Rudolph,2025-10-26 17:29:30.978487,154,1001.4,118.1,99.1,122,127,126,117,0.891,9,4605,27,0.4,0.21,99.2,FLYING,formation
RUDOLPH-001,Rudolph,2025-10-26 17:31:30.978487,144,3303.0,85.5,98.4,112,116,113,128,0.956,9,3968,15,0.55,0.6,92.5,FLYING,weather
VIXEN-001,Vixen,2025-10-26 17:33:30.978487,166,1431.8,72.8,101.6,120,115,117,111,0.961,4,2315,35,0.66,0.32,0.0,FLYING,endurance
CUPID-001,Cupid,2025-10-26 17:35:30.978487,149,2113.7,78.1,99.0,129,113,123,120,0.9,6,4575,12,0.79,0.22,0.0,FLYING,weather
DONNER-001,Donner,2025-10-26 17:39:30.978487,144,2880.2,104.4,101.1,114,118,129,127,0.882,7,3238,40,0.33,0.43,0.0,FLYING,endurance
BLITZEN-001,Blitzen,2025-10-26 17:43:30.978487,168,1581.8,76.3,99.1,126,113,117,120,0.893,8,4764,25,0.74,0.76,0.0,FLYING,weather
RUDOLPH-001,Rudolph,2025-10-26 17:47:30.978487,179,4660.6,101.9,100.2,119,126,122,128,0.822,9,4655,5,0.53,0.47,91.6,FLYING,navigation
DANCER-001,Dancer,2025-10-26 17:48:30.978487,64,0.0,0.0,100.9,115,111,125,121,0.807,2,0,24,0.92,0.04,0.0,RESTING,endurance
BLITZEN-001,Blitzen,2025-10-26 17:49:30.978487,81,0.0,0.0,100.9,117,129,127,127,0.936,8,0,13,0.59,0.2,0.0,RESTING,speed
RUDOLPH-001,Rudolph,2025-10-26 17:50:30.978487,140,2310.6,96.0,98.2,129,130,130,128,0.819,9,1556,19,0.67,0.46,87.6,FLYING,speed
COMET-001,Comet,2025-10-26 17:51:30.978487,157,4994.6,100.9,101.1,127,129,123,123,0.864,5,1204,20,0.85,0.21,0.0,FLYING,endurance
CUPID-001,Cupid,2025-10-26 17:54:30.978487,161,2456.8,105.4,100.2,110,128,124,119,0.927,6,4951,14,0.43,0.41,0.0,FLYING,weather
DONNER-001,Donner,2025-10-26 17:55:30.978487,87,0.0,0.0,101.1,118,122,122,114,0.946,7,0,11,0.84,0.27,0.0,RESTING,navigation
DANCER-001,Dancer,2025-10-26 17:56:30.978487,154,2336.0,96.5,101.7,110,123,115,115,0.777,2,1623,18,0.43,0.61,0.0,FLYING,formation
BLITZEN-001,Blitzen,2025-10-26 18:00:30.978487,160,2895.8,84.1,100.5,122,110,113,112,0.791,8,3904,6,0.36,0.73,0.0,FLYING,weather
RUDOLPH-001,Rudolph,2025-10-26 18:03:30.978487,174,3557.7,119.6,98.1,125,128,126,122,0.861,9,3025,35,0.39,0.7,80.1,FLYING,speed
CUPID-001,Cupid,2025-10-26 18:08:30.978487,157,4142.4,60.8,99.8,123,118,115,130,0.937,6,1311,9,0.81,0.74,0.0,FLYING,endurance
RUDOLPH-001,Rudolph,2025-10-26 18:10:30.978487,88,0.0,0.0,99.9,117,123,121,128,0.918,9,0,48,0.67,0.37,94.7,RESTING,navigation
CUPID-001,Cupid,2025-10-26 18:12:30.978487,148,4792.0,70.5,98.5,127,117,126,120,0.952,6,2482,48,0.99,0.21,0.0,FLYING,endurance
COMET-001,Comet,2025-10-26 18:16:30.978487,161,2469.7,99.1,101.0,116,112,113,114,0.967,5,1631,45,0.99,0.23,0.0,FLYING,weather
BLITZEN-001,Blitzen,2025-10-26 18:21:30.978487,145,3483.2,108.9,99.8,122,116,117,119,0.898,8,3779,47,0.42,0.14,0.0,FLYING,speed
RUDOLPH-001,Rudolph,2025-10-26 18:26:30.978487,140,1678.9,64.4,100.6,111,112,129,122,0.971,9,4386,2,0.48,0.57,89.5,FLYING,speed
DONNER-001,Donner,2025-10-26 18:27:30.978487,174,4171.3,73.8,100.0,114,118,129,117,0.826,7,1940,19,0.31,0.69,0.0,FLYING,endurance
DANCER-001,Dancer,2025-10-26 18:32:30.978487,158,2585.4,88.5,100.1,112,123,121,115,0.814,2,2041,42,0.97,0.21,0.0,FLYING,formation
RUDOLPH-001,Rudolph,2025-10-26 18:33:30.978487,71,0.0,0.0,100.8,125,129,129,116,0.854,9,0,50,0.69,0.01,90.7,RESTING,navigation
DANCER-001,Dancer,2025-10-26 18:35:30.978487,74,0.0,0.0,101.8,126,118,127,122,0.935,2,0,36,0.71,0.79,0.0,RESTING,weather
PRANCER-001,Prancer,2025-10-26 18:40:30.978487,159,4057.3,95.9,102.0,120,125,128,114,0.943,3,1428,17,0.89,0.54,0.0,FLYING,navigation
VIXEN-001,Vixen,2025-10-26 18:44:30.978487,62,0.0,0.0,101.4,129,127,122,118,0.79,4,0,8,0.93,0.67,0.0,RESTING,speed
BLITZEN-001,Blitzen,2025-10-26 18:49:30.978487,67,0.0,0.0,99.0,113,114,113,130,0.902,8,0,31,0.32,0.74,0.0,RESTING,speed
VIXEN-001,Vixen,2025-10-26 18:54:30.978487,143,3068.3,90.9,100.8,127,116,115,114,0.778,4,4343,7,0.31,0.18,0.0,FLYING,endurance
DANCER-001,Dancer,2025-10-26 18:55:30.978487,147,2543.8,86.0,98.2,110,126,130,129,0.904,2,3286,43,0.64,0.31,0.0,FLYING,endurance
DANCER-001,Dancer,2025-10-26 19:00:30.978487,145,1757.4,83.0,99.2,117,127,119,120,0.899,2,3626,5,0.71,0.6,0.0,FLYING,formation
DONNER-001,Donner,2025-10-26 19:03:30.978487,148,4065.7,93.0,98.8,119,123,128,120,0.941,7,4236,6,0.32,0.16,0.0,FLYING,endurance
DONNER-001,Donner,2025-10-26 19:07:30.978487,157,1014.0,109.0,101.8,128,122,124,112,0.826,7,4698,44,0.33,0.35,0.0,FLYING,formation
COMET-001,Comet,2025-10-26 19:11:30.978487,60,0.0,0.0,101.6,122,121,119,112,0.913,5,0,45,0.89,0.79,0.0,RESTING,speed
DASHER-001,Dasher,2025-10-26 19:14:30.978487,179,3166.6,66.0,101.3,128,118,129,125,0.76,1,3519,0,0.56,0.45,0.0,FLYING,speed
DONNER-001,Donner,2025-10-26 19:18:30.978487,174,2176.8,68.4,100.9,128,129,122,115,0.839,7,2880,50,0.31,0.19,0.0,FLYING,formation
RUDOLPH-001,Rudolph,2025-10-26 19:23:30.978487,171,3541.1,67.1,101.1,112,121,110,121,0.935,9,2756,11,0.55,0.68,90.6,FLYING,weather
DONNER-001,Donner,2025-10-26 19:27:30.978487,79,0.0,0.0,98.9,110,112,114,123,0.953,7,0,48,0.99,0.36,0.0,RESTING,weather
RUDOLPH-001,Rudolph,2025-10-26 19:32:30.978487,175,1747.1,60.9,101.4,128,121,114,112,0.93,9,2479,21,0.66,0.78,99.6,FLYING,endurance
BLITZEN-001,Blitzen,2025-10-26 19:36:30.978487,148,3824.3,100.3,100.0,122,129,115,112,0.772,8,3756,41,0.69,0.22,0.0,FLYING,weather
DONNER-001,Donner,2025-10-26 19:41:30.978487,149,2743.0,70.6,100.4,125,120,126,128,0.767,7,1218,45,0.92,0.73,0.0,FLYING,navigation
COMET-001,Comet,2025-10-26 19:44:30.978487,158,1420.9,93.2,99.5,111,120,123,126,0.779,5,4460,36,0.4,0.68,0.0,FLYING,navigation
DASHER-001,Dasher,2025-10-26 19:48:30.978487,144,1072.2,104.1,100.5,117,120,123,118,0.969,1,2881,10,0.45,0.11,0.0,FLYING,formation
RUDOLPH-001,Rudolph,2025-10-26 19:50:30.978487,70,0.0,0.0,101.5,118,110,111,112,0.862,9,0,41,0.96,0.65,91.2,RESTING,speed
COMET-001,Comet,2025-10-26 19:52:30.978487,166,1961.5,68.2,98.3,127,121,110,125,0.765,5,4220,22,0.96,0.51,0.0,FLYING,endurance
DANCER-001,Dancer,2025-10-26 19:53:30.978487,169,4898.9,96.6,101.5,113,112,120,115,0.848,2,4061,2,0.82,0.18,0.0,FLYING,formation
PRANCER-001,Prancer,2025-10-26 19:54:30.978487,61,0.0,0.0,99.8,123,128,120,110,0.751,3,0,30,0.48,0.56,0.0,RESTING,endurance
COMET-001,Comet,2025-10-26 19:59:30.978487,149,2308.9,77.6,101.2,126,124,123,128,0.878,5,1873,26,0.54,0.48,0.0,FLYING,navigation
DANCER-001,Dancer,2025-10-26 20:03:30.978487,172,3930.8,117.6,101.7,125,116,119,127,0.769,2,4693,49,0.81,0.06,0.0,FLYING,navigation
DASHER-001,Dasher,2025-10-26 20:06:30.978487,84,0.0,0.0,100.2,129,122,117,115,0.766,1,0,18,0.45,0.71,0.0,RESTING,navigation
COMET-001,Comet,2025-10-26 20:10:30.978487,149,4525.2,74.5,99.7,111,122,118,127,0.85,5,4052,27,0.61,0.47,0.0,FLYING,speed
COMET-001,Comet,2025-10-26 20:13:30.978487,151,3013.5,92.8,99.3,117,122,130,119,0.843,5,1564,34,0.33,0.27,0.0,FLYING,formation
COMET-001,Comet,2025-10-26 20:17:30.978487,161,2573.9,86.9,99.4,121,122,115,116,0.88,5,3986,0,0.72,0.43,0.0,FLYING,navigation
DANCER-001,Dancer,2025-10-26 20:20:30.978487,80,0.0,0.0,100.8,110,129,113,117,0.773,2,0,5,1.0,0.37,0.0,RESTING,weather
DANCER-001,Dancer,2025-10-26 20:24:30.978487,158,3746.7,68.5,100.8,124,122,111,115,0.789,2,1097,25,0.8,0.3,0.0,FLYING,speed
COMET-001,Comet,2025-10-26 20:27:30.978487,140,1332.6,70.6,101.6,114,115,124,120,0.931,5,4686,36,0.55,0.77,0.0,FLYING,endurance
DONNER-001,Donner,2025-10-26 20:29:30.978487,160,3798.5,63.0,98.4,116,115,121,130,0.908,7,3409,16,0.61,0.71,0.0,FLYING,navigation
BLITZEN-001,Blitzen,2025-10-26 20:30:30.978487,90,0.0,0.0,101.3,113,124,116,114,0.857,8,0,35,0.33,0.28,0.0,RESTING,weather
DASHER-001,Dasher,2025-10-26 20:33:30.978487,143,3665.7,109.8,98.0,122,119,129,116,0.973,1,4165,46,0.31,0.55,0.0,FLYING,weather
DASHER-001,Dasher,2025-10-26 20:34:30.978487,64,0.0,0.0,101.8,116,123,111,126,0.891,1,0,48,0.5,0.06,0.0,RESTING,navigation
DANCER-001,Dancer,2025-10-26 20:39:30.978487,179,4961.9,80.2,100.5,115,127,121,121,0.925,2,1997,23,0.78,0.27,0.0,FLYING,endurance
DONNER-001,Donner,2025-10-26 20:42:30.978487,61,0.0,0.0,99.6,125,128,128,110,0.898,7,0,25,0.7,0.75,0.0,RESTING,weather
DANCER-001,Dancer,2025-10-26 20:43:30.978487,142,3868.5,88.7,101.1,117,125,126,118,0.91,2,1513,45,0.92,0.17,0.0,FLYING,speed
COMET-001,Comet,2025-10-26 20:48:30.978487,154,3795.6,119.2,98.1,122,125,124,122,0.925,5,4467,10,0.53,0.01,0.0,FLYING,speed
DASHER-001,Dasher,2025-10-26 20:51:30.978487,66,0.0,0.0,101.9,120,118,114,122,0.792,1,0,6,0.62,0.2,0.0,RESTING,weather
PRANCER-001,Prancer,2025-10-26 20:52:30.978487,154,3290.7,106.7,101.2,119,120,113,112,0.754,3,4225,2,0.7,0.51,0.0,FLYING,formation
CUPID-001,Cupid,2025-10-26 20:53:30.978487,80,0.0,0.0,101.1,127,127,123,126,0.808,6,0,0,0.41,0.72,0.0,RESTING,endurance
DONNER-001,Donner,2025-10-26 20:57:30.978487,140,4178.3,97.0,99.1,120,124,120,128,0.878,7,3224,28,0.53,0.45,0.0,FLYING,speed
PRANCER-001,Prancer,2025-10-26 20:58:30.978487,150,3374.4,85.4,99.6,117,117,123,115,0.933,3,4623,44,0.4,0.3,0.0,FLYING,weather
DANCER-001,Dancer,2025-10-26 21:00:30.978487,74,0.0,0.0,101.6,129,114,110,124,0.776,2,0,22,0.89,0.18,0.0,RESTING,weather
PRANCER-001,Prancer,2025-10-26 21:01:30.978487,82,0.0,0.0,101.8,113,130,129,115,0.766,3,0,33,0.85,0.42,0.0,RESTING,formation
CUPID-001,Cupid,2025-10-26 21:02:30.978487,172,2734.9,106.4,99.7,127,121,120,127,0.877,6,3991,37,0.92,0.46,0.0,FLYING,formation
PRANCER-001,Prancer,2025-10-26 21:06:30.978487,142,1376.8,93.4,100.8,120,117,125,127,0.926,3,3864,38,0.9,0.05,0.0,FLYING,formation
PRANCER-001,Prancer,2025-10-26 21:11:30.978487,172,3327.5,114.0,99.1,119,111,113,126,0.782,3,3958,48,0.63,0.0,0.0,FLYING,speed
VIXEN-001,Vixen,2025-10-26 21:16:30.978487,154,3146.6,97.5,98.5,114,111,118,112,0.814,4,2995,17,0.76,0.58,0.0,FLYING,weather
DANCER-001,Dancer,2025-10-26 21:17:30.978487,178,4813.9,81.6,100.8,110,114,130,110,0.779,2,3597,13,0.99,0.22,0.0,FLYING,speed
PRANCER-001,Prancer,2025-10-26 21:19:30.978487,74,0.0,0.0,100.0,114,113,117,121,0.915,3,0,2,0.93,0.61,0.0,RESTING,weather
DONNER-001,Donner,2025-10-26 21:20:30.978487,152,1188.1,75.2,98.0,111,121,129,117,0.965,7,2802,29,0.62,0.32,0.0,FLYING,weather
RUDOLPH-001,Rudolph,2025-10-26 21:21:30.978487,81,0.0,0.0,98.1,115,129,112,123,0.907,9,0,43,0.98,0.06,95.4,RESTING,navigation
DASHER-001,Dasher,2025-10-26 21:25:30.978487,173,1636.5,104.9,98.9,110,118,117,127,0.939,1,1273,39,0.57,0.13,0.0,FLYING,weather
VIXEN-001,Vixen,2025-10-26 21:26:30.978487,143,2679.2,60.8,99.5,127,121,123,122,0.856,4,4084,2,0.57,0.56,0.0,FLYING,speed
RUDOLPH-001,Rudolph,2025-10-26 21:27:30.978487,156,2448.2,63.6,99.2,111,124,123,122,0.975,9,3805,19,0.72,0.15,91.6,FLYING,speed
DONNER-001,Donner,2025-10-26 21:32:30.978487,150,2209.2,96.3,99.8,114,115,122,114,0.85,7,4416,7,0.36,0.77,0.0,FLYING,navigation
DONNER-001,Donner,2025-10-26 21:34:30.978487,175,4678.5,104.3,100.8,118,114,113,126,0.946,7,3606,2,0.67,0.39,0.0,FLYING,weather
DANCER-001,Dancer,2025-10-26 21:39:30.978487,155,4721.2,68.9,100.9,112,129,128,122,0.811,2,1823,35,0.54,0.19,0.0,FLYING,speed
BLITZEN-001,Blitzen,2025-10-26 21:42:30.978487,143,1746.6,81.9,99.5,117,117,117,118,0.968,8,4888,2,0.87,0.19,0.0,FLYING,endurance
RUDOLPH-001,Rudolph,2025-10-26 21:45:30.978487,169,1112.0,118.8,101.1,122,128,118,125,0.826,9,2857,25,0.71,0.72,85.3,FLYING,navigation
VIXEN-001,Vixen,2025-10-26 21:48:30.978487,170,1959.7,82.2,102.0,118,122,122,129,0.929,4,2565,4,0.6,0.72,0.0,FLYING,speed
PRANCER-001,Prancer,2025-10-26 21:49:30.978487,140,2479.8,92.1,100.3,129,119,126,112,0.937,3,1759,48,0.58,0.11,0.0,FLYING,navigation
DONNER-001,Donner,2025-10-26 21:54:30.978487,155,4377.0,70.9,98.1,118,114,117,121,0.929,7,3410,7,0.49,0.31,0.0,FLYING,navigation
COMET-001,Comet,2025-10-26 21:55:30.978487,150,3334.1,74.9,101.8,113,119,120,119,0.799,5,4316,3,0.62,0.33,0.0,FLYING,formation
DANCER-001,Dancer,2025-10-26 21:57:30.978487,174,3722.7,61.1,100.6,113,125,126,121,0.962,2,1581,7,0.36,0.58,0.0,FLYING,formation
RUDOLPH-001,Rudolph,2025-10-26 21:58:30.978487,71,0.0,0.0,101.3,118,115,123,126,0.933,9,0,16,0.49,0.54,83.1,RESTING,formation
DANCER-001,Dancer,2025-10-26 21:59:30.978487,141,3571.3,69.8,100.8,123,120,114,117,0.958,2,2895,28,0.39,0.34,0.0,FLYING,navigation
VIXEN-001,Vixen,2025-10-26 22:03:30.978487,60,0.0,0.0,98.4,111,130,111,130,0.911,4,0,9,0.87,0.75,0.0,RESTING,endurance
CUPID-001,Cupid,2025-10-26 22:04:30.978487,142,3076.6,119.0,98.1,114,125,115,114,0.765,6,1763,20,0.62,0.68,0.0,FLYING,speed
DONNER-001,Donner,2025-10-26 22:05:30.978487,69,0.0,0.0,98.9,128,113,116,122,0.872,7,0,40,0.79,0.4,0.0,RESTING,speed
VIXEN-001,Vixen,2025-10-26 22:06:30.978487,72,0.0,0.0,100.5,121,114,126,122,0.79,4,0,46,0.32,0.52,0.0,RESTING,weather
VIXEN-001,Vixen,2025-10-26 22:10:30.978487,162,3876.5,118.0,101.3,116,117,114,115,0.785,4,3839,49,0.87,0.18,0.0,FLYING,weather
RUDOLPH-001,Rudolph,2025-10-26 22:12:30.978487,154,1697.2,77.2,101.1,117,114,117,123,0.848,9,3077,22,0.98,0.38,97.1,FLYING,endurance
RUDOLPH-001,Rudolph,2025-10-26 22:13:30.978487,147,1182.2,71.2,101.1,115,116,122,111,0.773,9,3012,7,0.41,0.08,92.1,FLYING,weather
RUDOLPH-001,Rudolph,2025-10-26 22:15:30.978487,171,3528.5,71.0,100.7,130,123,118,127,0.948,9,4192,25,0.63,0.26,81.8,FLYING,navigation
PRANCER-001,Prancer,2025-10-26 22:17:30.978487,90,0.0,0.0,98.9,114,114,115,126,0.754,3,0,6,0.83,0.23,0.0,RESTING,speed
RUDOLPH-001,Rudolph,2025-10-26 22:20:30.978487,180,4432.3,94.0,101.4,115,121,122,111,0.837,9,4363,39,1.0,0.27,94.3,FLYING,navigation
DONNER-001,Donner,2025-10-26 22:21:30.978487,88,0.0,0.0,100.5,125,117,112,130,0.776,7,0,3,0.49,0.55,0.0,RESTING,formation
DANCER-001,Dancer,2025-10-26 22:24:30.978487,154,1025.3,100.1,101.4,119,113,130,127,0.825,2,1055,42,0.35,0.62,0.0,FLYING,speed
DASHER-001,Dasher,2025-10-26 22:28:30.978487,176,2147.3,84.0,101.3,125,121,122,112,0.822,1,2133,50,0.63,0.29,0.0,FLYING,navigation
DANCER-001,Dancer,2025-10-26 22:33:30.978487,163,4747.1,99.6,98.3,118,112,112,128,0.926,2,3757,21,0.53,0.22,0.0,FLYING,weather
DONNER-001,Donner,2025-10-26 22:34:30.978487,175,1846.1,79.3,100.0,115,111,125,110,0.937,7,1074,16,0.42,0.78,0.0,FLYING,endurance
BLITZEN-001,Blitzen,2025-10-26 22:35:30.978487,83,0.0,0.0,100.6,114,119,112,116,0.881,8,0,48,0.8,0.72,0.0,RESTING,weather
BLITZEN-001,Blitzen,2025-10-26 22:39:30.978487,176,3589.1,84.4,101.8,125,116,112,115,0.848,8,4658,30,0.46,0.64,0.0,FLYING,speed
BLITZEN-001,Blitzen,2025-10-26 22:41:30.978487,161,3699.8,61.7,100.8,126,127,129,125,0.899,8,2721,22,0.47,0.51,0.0,FLYING,speed
COMET-001,Comet,2025-10-26 22:46:30.978487,79,0.0,0.0,98.4,122,120,119,116,0.757,5,0,32,0.77,0.63,0.0,RESTING,navigation
VIXEN-001,Vixen,2025-10-26 22:48:30.978487,61,0.0,0.0,98.6,128,112,121,110,0.928,4,0,31,0.87,0.22,0.0,RESTING,navigation
BLITZEN-001,Blitzen,2025-10-26 22:53:30.978487,143,2136.4,60.4,98.0,123,127,124,122,0.82,8,3231,42,0.83,0.4,0.0,FLYING,navigation
BLITZEN-001,Blitzen,2025-10-26 22:58:30.978487,145,4693.4,113.1,99.7,116,122,121,123,0.909,8,1138,16,0.9,0.03,0.0,FLYING,formation
CUPID-001,Cupid,2025-10-26 23:00:30.978487,177,1882.4,72.0,101.0,118,128,123,129,0.793,6,2902,28,0.36,0.71,0.0,FLYING,weather
PRANCER-001,Prancer,2025-10-26 23:03:30.978487,143,2520.6,79.3,100.8,128,124,110,115,0.835,3,1451,10,0.67,0.37,0.0,FLYING,speed
COMET-001,Comet,2025-10-26 23:07:30.978487,62,0.0,0.0,101.4,129,119,126,129,0.945,5,0,36,0.83,0.49,0.0,RESTING,navigation
DONNER-001,Donner,2025-10-26 23:10:30.978487,156,1992.1,118.3,101.5,119,117,119,118,0.931,7,4242,19,0.73,0.32,0.0,FLYING,weather
VIXEN-001,Vixen,2025-10-26 23:15:30.978487,156,1969.8,102.3,99.1,124,119,117,128,0.953,4,4592,26,0.48,0.42,0.0,FLYING,weather
PRANCER-001,Prancer,2025-10-26 23:17:30.978487,78,0.0,0.0,99.3,123,114,129,125,0.916,3,0,13,0.99,0.54,0.0,RESTING,weather
COMET-001,Comet,2025-10-26 23:22:30.978487,65,0.0,0.0,98.4,110,128,124,114,0.764,5,0,11,0.38,0.38,0.0,RESTING,endurance
CUPID-001,Cupid,2025-10-26 23:26:30.978487,158,4406.5,80.9,100.5,123,121,120,125,0.934,6,1540,49,0.39,0.2,0.0,FLYING,endurance
COMET-001,Comet,2025-10-26 23:29:30.978487,144,4393.0,82.9,98.6,129,117,128,111,0.939,5,1579,47,0.91,0.09,0.0,FLYING,endurance
BLITZEN-001,Blitzen,2025-10-26 23:31:30.978487,178,2573.9,81.4,99.6,120,128,120,130,0.906,8,2930,0,0.69,0.34,0.0,FLYING,endurance
VIXEN-001,Vixen,2025-10-26 23:36:30.978487,159,2044.4,81.6,98.8,120,122,122,117,0.769,4,1912,34,0.69,0.04,0.0,FLYING,speed
PRANCER-001,Prancer,2025-10-26 23:39:30.978487,73,0.0,0.0,98.6,114,111,117,116,0.821,3,0,18,0.43,0.33,0.0,RESTING,endurance
COMET-001,Comet,2025-10-26 23:40:30.978487,74,0.0,0.0,100.9,123,126,122,127,0.941,5,0,2,0.69,0.72,0.0,RESTING,navigation
COMET-001,Comet,2025-10-26 23:42:30.978487,145,3330.3,63.0,100.6,125,124,119,112,0.857,5,1771,2,0.51,0.67,0.0,FLYING,endurance
VIXEN-001,Vixen,2025-10-26 23:44:30.978487,143,4165.5,82.0,98.7,127,129,118,123,0.84,4,1742,28,0.83,0.58,0.0,FLYING,speed
VIXEN-001,Vixen,2025-10-26 23:46:30.978487,64,0.0,0.0,100.5,117,110,114,110,0.781,4,0,25,0.7,0.09,0.0,RESTING,speed
VIXEN-001,Vixen,2025-10-26 23:47:30.978487,66,0.0,0.0,99.0,124,124,112,113,0.904,4,0,27,0.85,0.29,0.0,RESTING,endurance
DONNER-001,Donner,2025-10-26 23:51:30.978487,75,0.0,0.0,100.4,121,120,117,111,0.79,7,0,41,0.56,0.04,0.0,RESTING,speed
