event_id,timestamp,child_id,event_type,source_system,event_description,witness_verified,impact_score,nice_score_delta,running_score,percentile_rank,gift_tier_recommendation,special_badge,location_country,age_group,privacy_consent,data_quality_score
EVT_2025_0000000028,2025-10-27 20:04:18.243225,CH_SM_43506,SHARING,ELF_SURVEILLANCE,sharing observed,True,1.9,1.9,51.9,13.4,BASIC,,United States Minor Outlying Islands,12-14,True,0.97
EVT_2025_0000000861,2025-10-27 20:27:53.402033,CH_MH_72685,KINDNESS_ACT,ELF_SURVEILLANCE,kindness act observed,False,1.7,1.7,51.7,71.2,BASIC,,San Marino,3-5,True,0.88
EVT_2025_0000000658,2025-10-27 20:46:25.822793,CH_TR_15955,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,True,3.3,3.3,53.3,96.7,BASIC,KINDNESS_STAR,Sierra Leone,9-11,True,0.87
EVT_2025_0000000868,2025-10-27 21:32:24.881359,CH_IR_49724,CHORES_DONE,SMART_TOY_TELEMETRY,chores done observed,True,0.7,0.7,50.7,50.0,BASIC,,Yemen,3-5,True,0.87
EVT_2025_0000000778,2025-10-27 21:43:19.441756,CH_CU_40114,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,True,3.5,3.5,53.5,77.7,BASIC,KINDNESS_STAR,French Southern Territories,3-5,True,0.79
EVT_2025_0000000780,2025-10-27 22:21:20.488057,CH_DM_59814,SHARING,TEACHER_REPORT,sharing observed,False,2.7,2.7,52.7,34.3,BASIC,,Tonga,12-14,True,0.78
EVT_2025_0000000081,2025-10-27 23:20:02.530728,CH_LR_50023,SHARING,MALL_SANTA_NETWORK,sharing observed,False,1.6,1.6,51.6,73.2,BASIC,,San Marino,3-5,True,0.75
EVT_2025_0000000464,2025-10-28 00:49:19.710115,CH_SB_70358,TANTRUM,MALL_SANTA_NETWORK,tantrum observed,True,1.7,-1.7,48.3,47.8,BASIC,,Central African Republic,3-5,True,0.87
EVT_2025_0000000155,2025-10-28 01:16:24.738249,CH_ML_74481,KINDNESS_ACT,PARENT_PORTAL,kindness act observed,True,2.2,2.2,52.2,24.6,BASIC,,Sweden,6-8,True,0.78
EVT_2025_0000000548,2025-10-28 02:31:28.694081,CH_SZ_59966,KINDNESS_ACT,ELF_SURVEILLANCE,kindness act observed,True,3.9,3.9,53.9,24.6,BASIC,KINDNESS_STAR,Comoros,6-8,True,0.89
EVT_2025_0000000729,2025-10-28 02:51:08.798330,CH_PK_33774,SHARING,SMART_TOY_TELEMETRY,sharing observed,True,2.1,2.1,52.1,3.2,BASIC,,Samoa,12-14,True,0.88
EVT_2025_0000000534,2025-10-28 03:45:17.720486,CH_AL_19290,TANTRUM,MALL_SANTA_NETWORK,tantrum observed,True,2.8,-2.8,47.2,29.3,BASIC,,Guadeloupe,6-8,True,0.78
EVT_2025_0000000195,2025-10-28 04:11:36.473438,CH_LA_49849,HOMEWORK_COMPLETE,TEACHER_REPORT,homework complete observed,True,1.3,1.3,51.3,20.1,BASIC,,Madagascar,6-8,True,0.7
EVT_2025_0000000787,2025-10-28 05:08:03.569379,CH_PE_20704,HOMEWORK_COMPLETE,ELF_SURVEILLANCE,homework complete observed,True,1.7,1.7,51.7,56.4,BASIC,,Iceland,9-11,True,0.91
EVT_2025_0000000272,2025-10-28 05:31:10.768083,CH_ZA_75048,SHARING,SMART_TOY_TELEMETRY,sharing observed,True,1.7,1.7,51.7,62.2,BASIC,,Svalbard & Jan Mayen Islands,3-5,True,0.75
EVT_2025_0000000967,2025-10-28 06:55:17.082459,CH_NL_61786,KINDNESS_ACT,MALL_SANTA_NETWORK,kindness act observed,True,4.3,4.3,54.3,39.2,BASIC,KINDNESS_STAR,Azerbaijan,12-14,True,0.96
EVT_2025_0000000144,2025-10-28 07:56:51.119958,CH_ET_84626,KINDNESS_ACT,PARENT_PORTAL,kindness act observed,True,2.0,2.0,52.0,79.5,BASIC,,Greece,12-14,True,0.9
EVT_2025_0000000514,2025-10-28 08:01:10.378748,CH_PS_37375,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,True,4.9,4.9,54.9,81.0,BASIC,KINDNESS_STAR,Saint Barthelemy,9-11,True,0.77
EVT_2025_0000000488,2025-10-28 08:19:25.148697,CH_LY_19403,CHORES_DONE,SMART_TOY_TELEMETRY,chores done observed,False,0.9,0.9,50.9,62.0,BASIC,,Central African Republic,12-14,True,0.89
EVT_2025_0000000962,2025-10-28 08:55:25.390010,CH_GT_18807,HOMEWORK_COMPLETE,ELF_SURVEILLANCE,homework complete observed,False,1.8,1.8,51.8,73.7,BASIC,,Guyana,6-8,True,0.9
EVT_2025_0000000758,2025-10-28 10:28:01.741067,CH_IL_38493,SHARING,MALL_SANTA_NETWORK,sharing observed,False,2.8,2.8,52.8,34.5,BASIC,,Jamaica,9-11,True,0.91
EVT_2025_0000000068,2025-10-28 12:05:50.259164,CH_TO_32364,KINDNESS_ACT,PARENT_PORTAL,kindness act observed,True,4.9,4.9,54.9,25.3,BASIC,KINDNESS_STAR,Christmas Island,9-11,True,0.75
EVT_2025_0000000985,2025-10-28 12:17:38.906364,CH_GR_24507,KINDNESS_ACT,MALL_SANTA_NETWORK,kindness act observed,True,2.9,2.9,52.9,88.3,BASIC,,Netherlands Antilles,12-14,True,0.92
EVT_2025_0000000841,2025-10-28 15:34:11.705055,CH_QA_39393,KINDNESS_ACT,ELF_SURVEILLANCE,kindness act observed,True,1.6,1.6,51.6,92.5,BASIC,,United Arab Emirates,6-8,True,0.85
EVT_2025_0000000309,2025-10-28 16:22:29.857167,CH_TW_15524,SHARING,SMART_TOY_TELEMETRY,sharing observed,True,2.1,2.1,52.1,17.6,BASIC,,Liechtenstein,9-11,True,0.76
EVT_2025_0000000246,2025-10-28 16:26:52.735902,CH_CM_81604,SHARING,SMART_TOY_TELEMETRY,sharing observed,True,3.0,3.0,53.0,27.1,BASIC,,Somalia,3-5,True,0.86
EVT_2025_0000000358,2025-10-28 16:36:02.339095,CH_AM_12006,HOMEWORK_COMPLETE,TEACHER_REPORT,homework complete observed,True,1.5,1.5,51.5,11.1,BASIC,,Sri Lanka,9-11,True,0.89
EVT_2025_0000000352,2025-10-28 16:47:52.929464,CH_ZM_44988,CHORES_DONE,PARENT_PORTAL,chores done observed,True,1.5,1.5,51.5,22.0,BASIC,,Guinea,12-14,True,0.7
EVT_2025_0000000018,2025-10-28 17:41:46.136797,CH_PA_63870,CHORES_DONE,TEACHER_REPORT,chores done observed,True,1.0,1.0,51.0,78.1,BASIC,,Congo,12-14,True,1.0
EVT_2025_0000000717,2025-10-28 17:57:59.120503,CH_GB_69154,TANTRUM,MALL_SANTA_NETWORK,tantrum observed,True,2.8,-2.8,47.2,5.3,BASIC,,Barbados,9-11,True,0.99
EVT_2025_0000000293,2025-10-28 19:36:33.122354,CH_MW_95394,SHARING,PARENT_PORTAL,sharing observed,True,2.1,2.1,52.1,85.9,BASIC,,Kazakhstan,12-14,True,0.86
EVT_2025_0000000937,2025-10-28 21:08:14.381528,CH_PL_17365,CHORES_DONE,TEACHER_REPORT,chores done observed,True,2.0,2.0,52.0,9.4,BASIC,,Botswana,9-11,True,0.91
EVT_2025_0000000362,2025-10-28 21:48:45.937740,CH_CD_14650,CHORES_DONE,PARENT_PORTAL,chores done observed,True,1.0,1.0,51.0,1.7,BASIC,,Cameroon,6-8,True,0.8
EVT_2025_0000000541,2025-10-28 22:41:14.965068,CH_MD_61976,CHORES_DONE,TEACHER_REPORT,chores done observed,True,1.9,1.9,51.9,85.8,BASIC,,Ethiopia,3-5,True,0.78
EVT_2025_0000000920,2025-10-28 23:24:57.669298,CH_CH_98702,HOMEWORK_COMPLETE,PARENT_PORTAL,homework complete observed,True,1.4,1.4,51.4,88.6,BASIC,,Indonesia,9-11,True,0.87
EVT_2025_0000000712,2025-10-29 00:22:21.787569,CH_TM_27376,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,True,2.7,2.7,52.7,51.8,BASIC,,Comoros,12-14,True,0.7
EVT_2025_0000000693,2025-10-29 01:07:00.650067,CH_HN_55883,HOMEWORK_COMPLETE,ELF_SURVEILLANCE,homework complete observed,True,1.7,1.7,51.7,97.8,BASIC,,Bahamas,9-11,True,0.73
EVT_2025_0000000204,2025-10-29 03:50:06.904382,CH_LT_19210,KINDNESS_ACT,TEACHER_REPORT,kindness act observed,True,1.6,1.6,51.6,84.7,BASIC,,France,12-14,True,0.78
EVT_2025_0000000453,2025-10-29 04:30:12.886737,CH_KR_44705,KINDNESS_ACT,TEACHER_REPORT,kindness act observed,True,1.6,1.6,51.6,79.7,BASIC,,Trinidad and Tobago,12-14,True,0.71
EVT_2025_0000000919,2025-10-29 05:33:39.841015,CH_MD_57165,SHARING,MALL_SANTA_NETWORK,sharing observed,False,1.7,1.7,51.7,7.6,BASIC,,Dominica,3-5,True,0.78
EVT_2025_0000000990,2025-10-29 05:34:01.539630,CH_LT_64460,HOMEWORK_COMPLETE,PARENT_PORTAL,homework complete observed,True,1.5,1.5,51.5,34.5,BASIC,,Azerbaijan,12-14,True,0.92
EVT_2025_0000000361,2025-10-29 05:36:56.768342,CH_MV_72730,HELPING_OTHERS,PARENT_PORTAL,helping others observed,True,3.1,3.1,53.1,20.6,BASIC,,Central African Republic,3-5,True,0.85
EVT_2025_0000000139,2025-10-29 06:42:57.271010,CH_VA_26852,KINDNESS_ACT,MALL_SANTA_NETWORK,kindness act observed,True,2.3,2.3,52.3,95.6,BASIC,,Germany,12-14,True,0.92
EVT_2025_0000000586,2025-10-29 06:59:56.682195,CH_DZ_69974,LYING,SMART_TOY_TELEMETRY,lying observed,True,2.7,-2.7,47.3,43.0,BASIC,,Bangladesh,12-14,True,0.81
EVT_2025_0000000551,2025-10-29 07:09:59.547619,CH_LR_98614,HOMEWORK_COMPLETE,SMART_TOY_TELEMETRY,homework complete observed,True,1.5,1.5,51.5,50.3,BASIC,,Argentina,9-11,True,0.84
EVT_2025_0000000963,2025-10-29 07:37:20.259815,CH_KZ_32690,SHARING,ELF_SURVEILLANCE,sharing observed,True,1.2,1.2,51.2,13.5,BASIC,,Lebanon,12-14,True,0.81
EVT_2025_0000000089,2025-10-29 08:00:12.006648,CH_BY_56354,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,False,2.1,2.1,52.1,36.5,BASIC,,Norfolk Island,12-14,True,0.96
EVT_2025_0000000282,2025-10-29 08:44:58.639058,CH_MK_68645,SHARING,ELF_SURVEILLANCE,sharing observed,False,1.5,1.5,51.5,48.2,BASIC,,Bosnia and Herzegovina,12-14,True,0.73
EVT_2025_0000000526,2025-10-29 09:00:52.003935,CH_BJ_72068,SHARING,ELF_SURVEILLANCE,sharing observed,True,2.7,2.7,52.7,61.0,BASIC,,British Virgin Islands,12-14,True,0.79
EVT_2025_0000000260,2025-10-29 16:55:58.362070,CH_JO_68984,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,False,3.5,3.5,53.5,22.7,BASIC,KINDNESS_STAR,Ireland,6-8,True,0.7
EVT_2025_0000000677,2025-10-29 16:59:12.625561,CH_PH_43628,HOMEWORK_COMPLETE,MALL_SANTA_NETWORK,homework complete observed,True,1.4,1.4,51.4,29.1,BASIC,,Malta,9-11,True,0.71
EVT_2025_0000000700,2025-10-29 18:18:17.106806,CH_ES_27165,KINDNESS_ACT,ELF_SURVEILLANCE,kindness act observed,True,4.0,4.0,54.0,24.1,BASIC,KINDNESS_STAR,Syrian Arab Republic,6-8,True,0.8
EVT_2025_0000000341,2025-10-29 18:55:06.343481,CH_SN_21651,SHARING,MALL_SANTA_NETWORK,sharing observed,True,2.8,2.8,52.8,69.7,BASIC,,Norfolk Island,9-11,True,0.96
EVT_2025_0000000616,2025-10-29 18:59:56.805701,CH_SC_46105,HOMEWORK_COMPLETE,SMART_TOY_TELEMETRY,homework complete observed,False,1.1,1.1,51.1,82.2,BASIC,,Swaziland,6-8,True,0.8
EVT_2025_0000000795,2025-10-29 20:12:11.478933,CH_RU_41566,KINDNESS_ACT,TEACHER_REPORT,kindness act observed,True,4.9,4.9,54.9,58.6,BASIC,KINDNESS_STAR,Nicaragua,9-11,True,0.96
EVT_2025_0000000971,2025-10-29 21:10:04.189474,CH_SZ_95365,TANTRUM,TEACHER_REPORT,tantrum observed,True,3.0,-3.0,47.0,1.6,BASIC,,Korea,12-14,True,0.78
EVT_2025_0000000388,2025-10-29 21:44:24.676886,CH_AG_16457,KINDNESS_ACT,PARENT_PORTAL,kindness act observed,True,1.9,1.9,51.9,87.5,BASIC,,Hungary,9-11,True,0.89
EVT_2025_0000000887,2025-10-29 21:55:35.395214,CH_EE_35095,KINDNESS_ACT,MALL_SANTA_NETWORK,kindness act observed,True,1.6,1.6,51.6,4.3,BASIC,,Somalia,9-11,True,0.8
EVT_2025_0000000262,2025-10-29 22:27:32.017229,CH_CO_60577,KINDNESS_ACT,PARENT_PORTAL,kindness act observed,True,1.8,1.8,51.8,27.2,BASIC,,Albania,6-8,True,0.94
EVT_2025_0000000794,2025-10-29 23:51:19.831782,CH_VC_40866,CHORES_DONE,SMART_TOY_TELEMETRY,chores done observed,True,1.6,1.6,51.6,97.7,BASIC,,Niue,12-14,True,0.98
EVT_2025_0000000180,2025-10-30 00:34:48.662585,CH_SV_41935,CHORES_DONE,PARENT_PORTAL,chores done observed,False,1.6,1.6,51.6,30.6,BASIC,,Niger,6-8,True,0.79
EVT_2025_0000000049,2025-10-30 02:27:54.033926,CH_NA_50863,TANTRUM,MALL_SANTA_NETWORK,tantrum observed,True,2.5,-2.5,47.5,48.8,BASIC,,Belize,9-11,True,0.72
EVT_2025_0000000420,2025-10-30 04:25:24.596050,CH_BJ_49438,CHORES_DONE,TEACHER_REPORT,chores done observed,True,0.5,0.5,50.5,57.1,BASIC,,United Kingdom,9-11,True,0.74
EVT_2025_0000000857,2025-10-30 05:33:37.661794,CH_FM_10752,CHORES_DONE,PARENT_PORTAL,chores done observed,True,1.1,1.1,51.1,61.3,BASIC,,Norfolk Island,6-8,True,0.76
EVT_2025_0000000460,2025-10-30 05:49:19.775966,CH_IN_35692,CHORES_DONE,PARENT_PORTAL,chores done observed,True,1.8,1.8,51.8,66.7,BASIC,,Macao,12-14,True,0.97
EVT_2025_0000000814,2025-10-30 05:57:17.904748,CH_VC_74437,KINDNESS_ACT,TEACHER_REPORT,kindness act observed,True,4.4,4.4,54.4,52.9,BASIC,KINDNESS_STAR,Spain,12-14,True,0.95
EVT_2025_0000000784,2025-10-30 06:49:31.441684,CH_PL_74739,SHARING,TEACHER_REPORT,sharing observed,True,2.1,2.1,52.1,25.6,BASIC,,Grenada,6-8,True,0.75
EVT_2025_0000000863,2025-10-30 07:22:38.551488,CH_MM_80924,KINDNESS_ACT,TEACHER_REPORT,kindness act observed,False,4.7,4.7,54.7,89.6,BASIC,KINDNESS_STAR,Luxembourg,6-8,True,0.81
EVT_2025_0000000034,2025-10-30 07:54:36.750538,CH_SD_54986,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,True,4.5,4.5,54.5,92.8,BASIC,KINDNESS_STAR,Kazakhstan,3-5,True,0.93
EVT_2025_0000000580,2025-10-30 08:24:20.875054,CH_ZA_50665,SHARING,MALL_SANTA_NETWORK,sharing observed,True,2.1,2.1,52.1,69.1,BASIC,,Faroe Islands,6-8,True,0.76
EVT_2025_0000000505,2025-10-30 08:57:42.499900,CH_GR_53463,HOMEWORK_COMPLETE,SMART_TOY_TELEMETRY,homework complete observed,True,1.3,1.3,51.3,50.5,BASIC,,Timor-Leste,9-11,True,0.78
EVT_2025_0000000828,2025-10-30 09:37:08.397896,CH_VA_11272,HOMEWORK_COMPLETE,MALL_SANTA_NETWORK,homework complete observed,True,0.8,0.8,50.8,48.5,BASIC,,Cuba,3-5,True,0.93
EVT_2025_0000000607,2025-10-30 09:37:35.005163,CH_SC_20324,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,True,5.0,5.0,55.0,4.2,BASIC,KINDNESS_STAR,Nepal,3-5,True,0.76
EVT_2025_0000000538,2025-10-30 10:44:33.613844,CH_IT_50025,LYING,ELF_SURVEILLANCE,lying observed,True,3.3,-3.3,46.7,95.3,BASIC,,Syrian Arab Republic,6-8,True,0.92
EVT_2025_0000000582,2025-10-30 11:14:35.119198,CH_MW_70474,CHORES_DONE,SMART_TOY_TELEMETRY,chores done observed,False,1.5,1.5,51.5,67.7,BASIC,,Lebanon,3-5,True,0.96
EVT_2025_0000000103,2025-10-30 11:39:10.549294,CH_PH_89576,SHARING,SMART_TOY_TELEMETRY,sharing observed,True,2.1,2.1,52.1,19.5,BASIC,,Tajikistan,9-11,True,0.8
