simulation_id,segment_id,timestamp,start_city,start_latitude,start_longitude,end_city,end_latitude,end_longitude,distance_km,households_count,chimneys_available,alternative_entries,optimal_arrival_hour,delivery_window_minutes,ms_per_household,weather_condition,weather_delay_minutes,fuel_stops_required,presents_weight_tons,optimization_algorithm,optimization_score,elf_support_teams,contingency_routes,real_time_tracking,carbon_offset_tons
SIM_2025_V2_000165,SEG_MOS_CAI_0165,2025-11-19 04:15:30.380940,Moscow,55.7558,37.6173,Cairo,30.0444,31.2357,2941.0,8100000,5897501,2202499,21,216,3.0,CLOUDY,0,0,16200.0,DIJKSTRA,0.788,19,2,True,0.29
SIM_2025_V10_000503,SEG_MUM_SYD_0503,2025-11-19 04:21:14.443332,Mumbai,19.076,72.8777,Sydney,-33.8688,151.2093,10495.0,6000000,4454035,1545965,22,208,2.9,FOG,14,2,12000.0,DIJKSTRA,0.867,12,1,True,1.05
SIM_2025_V1_000017,SEG_TOR_NEW_0017,2025-11-19 04:25:34.008311,Toronto,43.6532,-79.3832,New York,40.7128,-74.006,680.0,5100000,3832348,1267652,23,138,2.4,CLOUDY,0,0,10200.0,QUANTUM,0.815,11,2,True,0.07
SIM_2025_V1_000072,SEG_PAR_MUM_0072,2025-11-19 04:30:28.609808,Paris,48.8566,2.3522,Mumbai,19.076,72.8777,8498.0,6400000,4139874,2260126,22,147,2.1,LIGHT_SNOW,20,1,12800.0,QUANTUM,0.983,16,1,True,0.85
SIM_2025_V10_000311,SEG_SYD_TOK_0311,2025-11-19 04:35:27.870730,Sydney,-33.8688,151.2093,Tokyo,35.6762,139.6503,7825.0,6300000,4864257,1435743,23,195,2.6,FOG,0,1,12600.0,DIJKSTRA,0.804,8,3,True,0.78
SIM_2025_V7_000257,SEG_PAR_CAI_0257,2025-11-19 04:55:02.168370,Paris,48.8566,2.3522,Cairo,30.0444,31.2357,3826.0,5700000,3816657,1883343,21,177,1.6,CLEAR,0,0,11400.0,A_STAR,0.904,20,1,True,0.38
SIM_2025_V5_000336,SEG_TOK_LON_0336,2025-11-19 05:17:07.278359,Tokyo,35.6762,139.6503,London,51.5074,-0.1278,15615.0,7700000,4861732,2838268,20,226,2.6,CLEAR,0,3,15400.0,DIJKSTRA,0.86,10,3,True,1.56
SIM_2025_V1_000769,SEG_PAR_LON_0769,2025-11-19 05:17:12.679910,Paris,48.8566,2.3522,London,51.5074,-0.1278,403.0,5400000,3717189,1682811,20,194,1.8,WIND,17,0,10800.0,QUANTUM,0.765,18,3,True,0.04
SIM_2025_V10_000525,SEG_PAR_NEW_0525,2025-11-19 05:22:47.544886,Paris,48.8566,2.3522,New York,40.7128,-74.006,8524.0,5200000,3330609,1869391,20,130,2.2,WIND,0,1,10400.0,QUANTUM,0.91,16,2,True,0.85
SIM_2025_V8_000931,SEG_SYD_SÃO_0931,2025-11-19 05:23:51.039015,Sydney,-33.8688,151.2093,São Paulo,-23.5505,-46.6333,21990.0,5800000,3648548,2151452,21,189,1.7,CLEAR,0,4,11600.0,QUANTUM,0.807,11,3,True,2.2
SIM_2025_V8_000462,SEG_NEW_PAR_0462,2025-11-19 05:30:58.134477,New York,40.7128,-74.006,Paris,48.8566,2.3522,8524.0,5200000,3391000,1809000,20,184,2.8,CLEAR,11,1,10400.0,QUANTUM,0.848,7,3,True,0.85
SIM_2025_V8_000771,SEG_SÃO_TOR_0771,2025-11-19 05:37:45.666802,São Paulo,-23.5505,-46.6333,Toronto,43.6532,-79.3832,8298.0,6100000,4629928,1470072,21,141,3.3,CLEAR,14,1,12200.0,GENETIC,0.9,6,2,True,0.83
SIM_2025_V8_000796,SEG_CAI_TOR_0796,2025-11-19 05:56:13.338787,Cairo,30.0444,31.2357,Toronto,43.6532,-79.3832,12371.0,5600000,4219558,1380442,23,138,2.7,HEAVY_SNOW,0,2,11200.0,QUANTUM,0.856,11,1,True,1.24
SIM_2025_V10_000378,SEG_TOR_LON_0378,2025-11-19 05:59:03.424982,Toronto,43.6532,-79.3832,London,51.5074,-0.1278,8840.0,5300000,3683305,1616695,22,238,2.5,WIND,0,1,10600.0,QUANTUM,0.821,14,3,True,0.88
SIM_2025_V4_000849,SEG_MUM_SÃO_0849,2025-11-19 06:31:02.872980,Mumbai,19.076,72.8777,São Paulo,-23.5505,-46.6333,14084.0,8200000,5552604,2647396,22,183,2.3,HEAVY_SNOW,22,2,16400.0,DIJKSTRA,0.927,15,2,True,1.41
SIM_2025_V8_000458,SEG_TOR_LON_0458,2025-11-19 06:32:52.419627,Toronto,43.6532,-79.3832,London,51.5074,-0.1278,8840.0,5300000,3907574,1392426,20,232,1.8,CLEAR,29,1,10600.0,GENETIC,0.811,9,1,True,0.88
SIM_2025_V2_000912,SEG_CAI_TOR_0912,2025-11-19 06:37:02.401583,Cairo,30.0444,31.2357,Toronto,43.6532,-79.3832,12371.0,5600000,4103235,1496765,21,144,1.9,WIND,0,2,11200.0,QUANTUM,0.985,11,1,True,1.24
SIM_2025_V5_000877,SEG_SYD_MUM_0877,2025-11-19 06:46:10.607031,Sydney,-33.8688,151.2093,Mumbai,19.076,72.8777,10495.0,6000000,4031241,1968759,23,137,2.3,LIGHT_SNOW,0,2,12000.0,GENETIC,0.964,16,3,True,1.05
SIM_2025_V4_000695,SEG_CAI_LON_0695,2025-11-19 06:52:28.613020,Cairo,30.0444,31.2357,London,51.5074,-0.1278,4218.0,6700000,4692052,2007948,21,148,2.1,CLOUDY,0,0,13400.0,QUANTUM,0.761,11,1,True,0.42
SIM_2025_V4_000178,SEG_SYD_SÃO_0178,2025-11-19 06:53:05.122097,Sydney,-33.8688,151.2093,São Paulo,-23.5505,-46.6333,21990.0,5800000,3759909,2040091,21,168,2.3,RAIN,9,4,11600.0,GENETIC,0.892,14,2,True,2.2
SIM_2025_V7_000105,SEG_PAR_MUM_0105,2025-11-19 06:58:44.290655,Paris,48.8566,2.3522,Mumbai,19.076,72.8777,8498.0,6400000,4916418,1483582,20,209,2.3,CLEAR,0,1,12800.0,GENETIC,0.885,17,2,True,0.85
SIM_2025_V10_000349,SEG_PAR_TOR_0349,2025-11-19 06:59:12.310953,Paris,48.8566,2.3522,Toronto,43.6532,-79.3832,9091.0,4300000,2668742,1631258,22,236,1.5,CLOUDY,0,1,8600.0,A_STAR,0.789,18,3,True,0.91
SIM_2025_V1_000652,SEG_MOS_PAR_0652,2025-11-19 07:41:02.779792,Moscow,55.7558,37.6173,Paris,48.8566,2.3522,3989.0,6800000,4146154,2653846,20,229,2.3,CLOUDY,0,0,13600.0,DIJKSTRA,0.891,13,2,True,0.4
SIM_2025_V7_000757,SEG_TOR_CAI_0757,2025-11-19 07:58:09.452558,Toronto,43.6532,-79.3832,Cairo,30.0444,31.2357,12371.0,5600000,4054973,1545027,22,221,2.8,CLEAR,0,2,11200.0,QUANTUM,0.909,7,2,True,1.24
SIM_2025_V9_000077,SEG_LON_CAI_0077,2025-11-19 08:17:24.776803,London,51.5074,-0.1278,Cairo,30.0444,31.2357,4218.0,6700000,4492441,2207559,22,198,1.9,LIGHT_SNOW,0,0,13400.0,DIJKSTRA,0.79,12,1,True,0.42
SIM_2025_V4_000563,SEG_MOS_MUM_0563,2025-11-19 08:20:40.241834,Moscow,55.7558,37.6173,Mumbai,19.076,72.8777,5648.0,8800000,6209448,2590552,21,222,3.0,LIGHT_SNOW,0,1,17600.0,QUANTUM,0.853,17,3,True,0.56
SIM_2025_V5_000037,SEG_NEW_TOK_0037,2025-11-19 08:46:02.843156,New York,40.7128,-74.006,Tokyo,35.6762,139.6503,23722.0,7500000,4635977,2864023,22,135,1.5,FOG,0,4,15000.0,GENETIC,0.81,15,1,True,2.37
SIM_2025_V3_000416,SEG_SYD_MUM_0416,2025-11-19 08:48:31.291001,Sydney,-33.8688,151.2093,Mumbai,19.076,72.8777,10495.0,6000000,4566636,1433364,20,228,1.5,FOG,17,2,12000.0,QUANTUM,0.904,14,3,True,1.05
SIM_2025_V6_000346,SEG_PAR_NEW_0346,2025-11-19 08:56:07.859932,Paris,48.8566,2.3522,New York,40.7128,-74.006,8524.0,5200000,3782654,1417346,23,159,2.3,HEAVY_SNOW,0,1,10400.0,QUANTUM,0.769,6,1,True,0.85
SIM_2025_V6_000708,SEG_TOR_MOS_0708,2025-11-19 08:57:37.440348,Toronto,43.6532,-79.3832,Moscow,55.7558,37.6173,13056.0,6700000,5165685,1534315,23,191,3.4,FOG,0,2,13400.0,GENETIC,0.888,7,1,True,1.31
SIM_2025_V7_000916,SEG_CAI_MOS_0916,2025-11-19 08:59:27.224926,Cairo,30.0444,31.2357,Moscow,55.7558,37.6173,2941.0,8100000,5697354,2402646,21,222,1.7,LIGHT_SNOW,15,0,16200.0,QUANTUM,0.837,18,2,True,0.29
SIM_2025_V1_000857,SEG_CAI_PAR_0857,2025-11-19 09:01:37.530128,Cairo,30.0444,31.2357,Paris,48.8566,2.3522,3826.0,5700000,3979378,1720622,23,146,2.3,FOG,6,0,11400.0,A_STAR,0.872,11,2,True,0.38
SIM_2025_V7_000377,SEG_MUM_PAR_0377,2025-11-19 09:08:35.089205,Mumbai,19.076,72.8777,Paris,48.8566,2.3522,8498.0,6400000,4869992,1530008,20,230,1.9,CLEAR,0,1,12800.0,QUANTUM,0.871,17,2,True,0.85
SIM_2025_V2_000899,SEG_NEW_PAR_0899,2025-11-19 09:13:34.200474,New York,40.7128,-74.006,Paris,48.8566,2.3522,8524.0,5200000,3258574,1941426,22,231,3.3,WIND,0,1,10400.0,QUANTUM,0.8,11,3,True,0.85
SIM_2025_V2_000734,SEG_MOS_LON_0734,2025-11-19 09:29:53.596113,Moscow,55.7558,37.6173,London,51.5074,-0.1278,4216.0,7800000,4743704,3056296,21,182,2.8,FOG,0,0,15600.0,A_STAR,0.983,7,1,True,0.42
