request_id,timestamp,child_id,latitude,longitude,country,timezone,letter_text,primary_gift_category,gift_count,sentiment_score,urgency_level,language_code,delivery_preference,extracted_gifts_json
REQ_2025_00000452,2025-10-26T23:07:23.309Z,CH_KZ_33942,17.252249847872484,-62.66918607399557,Saint Kitts and Nevis,Europe/Zagreb,"Dear Santa, I have been very helpful this year. For Christmas, I would really like soccer ball and maybe bicycle. I promise to do my homework. Love, Katherine",SPORTS,3,0.702,1,fr,stocking,"""""""[{""""""""item_name"""""""": """"""""soccer ball"""""""""""
REQ_2025_00000849,2025-10-26T23:35:54.150Z,CH_UG_83055,-18.122831946706313,179.01127385076188,Fiji,Asia/Seoul,"Santa, please bring me LEGO set for Christmas. I really need it because all my friends have one. I've been very good all year. From Johnny",TOYS,3,0.705,1,fr,mailbox,"""""""[{""""""""item_name"""""""": """"""""LEGO set"""""""""""
REQ_2025_00000216,2025-10-27T00:32:31.829Z,CH_DZ_69867,-9.164412583122166,-171.8166359011656,Tokelau,Asia/Nicosia,"Santa, please bring me skateboard for Christmas. I really need it because I want to learn. I've been kind all year. From Taylor",SPORTS,3,0.995,3,it,mailbox,"""""""[{""""""""item_name"""""""": """"""""skateboard"""""""""""
REQ_2025_00000057,2025-10-27T01:11:24.403Z,CH_CL_41091,30.816023542556245,34.85957880829985,Israel,Africa/Mbabane,"Hi Santa! My name is Annette and I am 7 years old. This year I want rollerblades, soccer ball, and basketball. I've been very good and helped my brother. Thank you!",SPORTS,3,0.753,3,it,stocking,"""""""[{""""""""item_name"""""""": """"""""rollerblades"""""""""""
REQ_2025_00000080,2025-10-27T01:14:15.503Z,CH_IS_23566,-0.7247870140506634,15.644140092132151,Congo,Africa/Conakry,"Santa, please bring me tennis racket for Christmas. I really need it because it would help me in school. I've been trying my best all year. From Michael",SPORTS,3,0.924,3,es,tree,"""""""[{""""""""item_name"""""""": """"""""tennis racket"""""""""""
REQ_2025_00000450,2025-10-27T01:39:02.292Z,CH_RO_35221,47.28730305750614,28.56536540749267,Moldova,Asia/Beirut,"Santa, please bring me robot for Christmas. I really need it because my old one broke. I've been kind all year. From Alexis",ELECTRONICS,3,0.982,5,en,tree,"""""""[{""""""""item_name"""""""": """"""""robot"""""""""""
REQ_2025_00000229,2025-10-27T01:43:57.664Z,CH_MA_18130,23.973458130703676,120.97980928313707,Taiwan,Africa/Nairobi,"Hi Santa! My name is Jodi and I am 5 years old. This year I want toy car, LEGO set, and doll. I've been very good and helped my sister. Thank you!",TOYS,3,0.876,3,de,chimney,"""""""[{""""""""item_name"""""""": """"""""toy car"""""""""""
REQ_2025_00000040,2025-10-27T02:56:33.671Z,CH_RW_48829,30.33193918516912,71.246342857343,Pakistan,Pacific/Galapagos,"Hi Santa! My name is Jennifer and I am 11 years old. This year I want gaming console, robot, and headphones. I've been kind and helped my mom. Thank you!",ELECTRONICS,3,0.691,2,it,chimney,"""""""[{""""""""item_name"""""""": """"""""gaming console"""""""""""
REQ_2025_00000118,2025-10-27T03:34:37.200Z,CH_NE_52415,-20.64064991676038,161.21506193356197,New Caledonia,Asia/Tehran,"Santa, please bring me craft kit for Christmas. I really need it because it would help me in school. I've been good all year. From Kimberly",CREATIVE,3,0.974,1,it,mailbox,"""""""[{""""""""item_name"""""""": """"""""craft kit"""""""""""
REQ_2025_00000836,2025-10-27T04:09:15.486Z,CH_ET_86049,33.84147263983149,9.400283700085046,Tunisia,Asia/Dili,"Hi Santa! My name is John and I am 11 years old. This year I want smartwatch, robot, and gaming console. I've been kind and helped my brother. Thank you!",ELECTRONICS,3,0.761,4,pt,stocking,"""""""[{""""""""item_name"""""""": """"""""smartwatch"""""""""""
REQ_2025_00000085,2025-10-27T04:32:56.612Z,CH_DZ_31241,0.9709590397721658,7.025014660184254,Sao Tome and Principe,America/Barbados,"Hi Santa! My name is Leslie and I am 10 years old. This year I want smartwatch, drone, and headphones. I've been excellent and helped my grandparents. Thank you!",ELECTRONICS,3,0.927,5,fr,stocking,"""""""[{""""""""item_name"""""""": """"""""smartwatch"""""""""""
REQ_2025_00000528,2025-10-27T04:45:37.628Z,CH_SI_19746,40.390295309742584,47.78557275905246,Azerbaijan,Europe/Berlin,"Santa, please bring me drone for Christmas. I really need it because it would help me in school. I've been excellent all year. From Joseph",ELECTRONICS,3,0.82,3,zh,tree,"""""""[{""""""""item_name"""""""": """"""""drone"""""""""""
REQ_2025_00000042,2025-10-27T04:47:33.809Z,CH_LV_25525,56.83867372473684,24.752009786073735,Latvia,America/Guyana,"Dear Santa, I have been very very good this year. For Christmas, I would really like basketball and maybe bicycle. I promise to help with chores. Love, Stephanie",SPORTS,3,0.823,4,de,mailbox,"""""""[{""""""""item_name"""""""": """"""""basketball"""""""""""
REQ_2025_00000848,2025-10-27T04:55:44.596Z,CH_BB_18773,29.27272135147058,47.50133722426797,Kuwait,Africa/Mogadishu,"Hi Santa! My name is Tina and I am 11 years old. This year I want coloring book, picture book, and chapter book. I've been good and helped my brother. Thank you!",BOOKS,3,0.626,3,pt,mailbox,"""""""[{""""""""item_name"""""""": """"""""coloring book"""""""""""
REQ_2025_00000366,2025-10-27T04:59:17.328Z,CH_BR_39548,49.21810955817446,-2.1377803142327445,Jersey,Asia/Baku,"Dear Santa, I have been very helpful this year. For Christmas, I would really like musical instrument and maybe building blocks. I promise to share with my siblings. Love, Lisa",CREATIVE,3,0.728,3,zh,stocking,"""""""[{""""""""item_name"""""""": """"""""musical instrument"""""""""""
REQ_2025_00000967,2025-10-27T06:57:26.317Z,CH_PW_40360,-41.49776235749526,172.83386606960497,New Zealand,America/Guyana,"Santa, please bring me drone for Christmas. I really need it because it would help me in school. I've been trying my best all year. From Hayden",ELECTRONICS,3,0.95,5,de,chimney,"""""""[{""""""""item_name"""""""": """"""""drone"""""""""""
REQ_2025_00000372,2025-10-27T08:40:06.265Z,CH_UA_30454,4.143066013096349,-56.0749338316234,Suriname,Asia/Kuwait,"Hi Santa! My name is Joshua and I am 5 years old. This year I want craft kit, art supplies, and science kit. I've been trying my best and helped my brother. Thank you!",CREATIVE,3,0.602,5,pt,stocking,"""""""[{""""""""item_name"""""""": """"""""craft kit"""""""""""
REQ_2025_00000088,2025-10-27T09:12:15.166Z,CH_CM_41147,28.000417409239663,2.9990260341161865,Algeria,Africa/Harare,"Santa, please bring me action figure for Christmas. I really need it because all my friends have one. I've been kind all year. From Jennifer",TOYS,3,0.72,1,de,mailbox,"""""""[{""""""""item_name"""""""": """"""""action figure"""""""""""
REQ_2025_00000561,2025-10-27T10:31:55.695Z,CH_GR_18822,-16.52470022879578,168.10817450175279,Vanuatu,Asia/Saigon,"Hi Santa! My name is Jonathan and I am 4 years old. This year I want stuffed animal, doll, and toy car. I've been very good and helped my brother. Thank you!",TOYS,3,0.645,4,it,tree,"""""""[{""""""""item_name"""""""": """"""""stuffed animal"""""""""""
REQ_2025_00000424,2025-10-27T11:05:10.558Z,CH_CA_58265,49.48920754289295,31.270400763511535,Ukraine,Europe/Rome,"Hi Santa! My name is Erica and I am 6 years old. This year I want basketball, rollerblades, and tennis racket. I've been helpful and helped my mom. Thank you!",SPORTS,3,0.846,4,zh,chimney,"""""""[{""""""""item_name"""""""": """"""""basketball"""""""""""
REQ_2025_00000084,2025-10-27T12:24:25.639Z,CH_CR_98652,-18.452631036744776,29.74843437078803,Zimbabwe,Asia/Riyadh,"Santa, please bring me gaming console for Christmas. I really need it because all my friends have one. I've been trying my best all year. From Marc",ELECTRONICS,3,0.888,4,it,mailbox,"""""""[{""""""""item_name"""""""": """"""""gaming console"""""""""""
REQ_2025_00000187,2025-10-27T12:55:41.062Z,CH_MM_59595,18.222135517247843,-66.48435134695485,Puerto Rico,Africa/Sao_Tome,"Santa, please bring me rollerblades for Christmas. I really need it because I want to learn. I've been helpful all year. From Robert",SPORTS,3,0.723,3,fr,tree,"""""""[{""""""""item_name"""""""": """"""""rollerblades"""""""""""
REQ_2025_00000323,2025-10-27T13:47:52.835Z,CH_TJ_16047,-21.131686796645003,55.526448721593695,Reunion,Africa/Casablanca,"Santa, please bring me LEGO set for Christmas. I really need it because it would help me in school. I've been helpful all year. From James",TOYS,3,0.641,3,en,stocking,"""""""[{""""""""item_name"""""""": """"""""LEGO set"""""""""""
REQ_2025_00000587,2025-10-27T13:51:59.404Z,CH_FI_35252,28.00312245604418,2.9981787479699573,Algeria,Africa/Kampala,"Dear Santa, I have been very helpful this year. For Christmas, I would really like coloring book and maybe comic book. I promise to be kind to others. Love, Mary",BOOKS,3,0.847,4,en,mailbox,"""""""[{""""""""item_name"""""""": """"""""coloring book"""""""""""
REQ_2025_00000954,2025-10-27T14:34:18.528Z,CH_BG_50567,18.18734838925912,-77.39220313113978,Jamaica,Africa/Kampala,"Hi Santa! My name is Patricia and I am 10 years old. This year I want headphones, tablet, and robot. I've been good and helped my dad. Thank you!",ELECTRONICS,3,0.825,2,de,stocking,"""""""[{""""""""item_name"""""""": """"""""headphones"""""""""""
REQ_2025_00000934,2025-10-27T15:26:35.359Z,CH_BF_61337,59.673433717161544,14.522653616871187,Sweden,Pacific/Tongatapu,"Dear Santa, I have been very good this year. For Christmas, I would really like picture book and maybe chapter book. I promise to help with chores. Love, Logan",BOOKS,3,0.701,5,es,chimney,"""""""[{""""""""item_name"""""""": """"""""picture book"""""""""""
REQ_2025_00000274,2025-10-27T15:40:46.322Z,CH_MC_78610,25.332265002337003,51.22687791207895,Qatar,Europe/Amsterdam,"Santa, please bring me skateboard for Christmas. I really need it because it would help me in school. I've been helpful all year. From Jason",SPORTS,3,0.856,5,it,stocking,"""""""[{""""""""item_name"""""""": """"""""skateboard"""""""""""
REQ_2025_00000432,2025-10-27T17:33:19.023Z,CH_KI_45107,16.370153623179327,-2.292071951860804,Mali,America/Port_of_Spain,"Hi Santa! My name is Michael and I am 12 years old. This year I want skateboard, bicycle, and tennis racket. I've been helpful and helped my grandparents. Thank you!",SPORTS,3,0.957,4,ja,chimney,"""""""[{""""""""item_name"""""""": """"""""skateboard"""""""""""
REQ_2025_00000208,2025-10-27T19:05:50.485Z,CH_TH_64146,38.627580994383656,70.81245206278876,Tajikistan,Asia/Seoul,"Hi Santa! My name is Curtis and I am 4 years old. This year I want bicycle, tennis racket, and rollerblades. I've been very good and helped my brother. Thank you!",SPORTS,3,0.622,2,fr,tree,"""""""[{""""""""item_name"""""""": """"""""bicycle"""""""""""
REQ_2025_00000324,2025-10-27T20:30:23.885Z,CH_SL_45866,18.197436990701398,-63.0735627133892,Anguilla,Asia/Pyongyang,"Santa, please bring me coloring book for Christmas. I really need it because I want to learn. I've been good all year. From Megan",BOOKS,3,0.646,5,es,tree,"""""""[{""""""""item_name"""""""": """"""""coloring book"""""""""""
REQ_2025_00000340,2025-10-27T21:29:18.574Z,CH_US_41188,8.999221413849495,168.00187994482073,Marshall Islands,Africa/Asmera,"Santa, please bring me action figure for Christmas. I really need it because it would help me in school. I've been very good all year. From Yvette",TOYS,3,0.864,2,de,stocking,"""""""[{""""""""item_name"""""""": """"""""action figure"""""""""""
REQ_2025_00000794,2025-10-27T22:43:54.559Z,CH_CY_69285,4.842895670244087,-58.638311627238814,Guyana,Pacific/Kosrae,"Dear Santa, I have been very trying my best this year. For Christmas, I would really like headphones and maybe gaming console. I promise to be kind to others. Love, Bryan",ELECTRONICS,3,0.778,4,ja,stocking,"""""""[{""""""""item_name"""""""": """"""""headphones"""""""""""
REQ_2025_00000121,2025-10-27T22:54:13.149Z,CH_ER_78202,48.73912314874942,19.45102333304171,Slovakia (Slovak Republic),Europe/Monaco,"Dear Santa, I have been very helpful this year. For Christmas, I would really like LEGO set and maybe puzzle. I promise to do my homework. Love, Richard",TOYS,3,0.777,2,ja,chimney,"""""""[{""""""""item_name"""""""": """"""""LEGO set"""""""""""
REQ_2025_00000846,2025-10-27T23:55:11.011Z,CH_US_73195,-2.481905766216597,117.890708289248,Indonesia,Europe/Belgrade,"Hi Santa! My name is Patrick and I am 7 years old. This year I want tablet, smartwatch, and drone. I've been good and helped my mom. Thank you!",ELECTRONICS,3,0.794,1,zh,tree,"""""""[{""""""""item_name"""""""": """"""""tablet"""""""""""
REQ_2025_00000362,2025-10-28T00:43:05.817Z,CH_SB_64758,3.7193440599674132,73.22731452456154,Maldives,Pacific/Guadalcanal,"Santa, please bring me gaming console for Christmas. I really need it because my old one broke. I've been very good all year. From Melissa",ELECTRONICS,3,0.992,1,ja,chimney,"""""""[{""""""""item_name"""""""": """"""""gaming console"""""""""""
REQ_2025_00000226,2025-10-28T00:48:11.067Z,CH_ET_96182,24.775305356838718,-77.9967065288844,Bahamas,Africa/Khartoum,"Santa, please bring me science kit for Christmas. I really need it because it would help me in school. I've been very good all year. From Cynthia",CREATIVE,3,0.84,3,zh,mailbox,"""""""[{""""""""item_name"""""""": """"""""science kit"""""""""""
REQ_2025_00000908,2025-10-28T00:53:27.559Z,CH_CZ_99313,52.24154536673287,5.634393994208525,Netherlands,Europe/Podgorica,"Dear Santa, I have been very kind this year. For Christmas, I would really like board game and maybe doll. I promise to do my homework. Love, Leslie",TOYS,3,0.809,3,de,mailbox,"""""""[{""""""""item_name"""""""": """"""""board game"""""""""""
REQ_2025_00000879,2025-10-28T01:56:32.623Z,CH_AF_37605,22.177338197056745,113.55043227206855,Macao,Asia/Qatar,"Hi Santa! My name is Kenneth and I am 3 years old. This year I want gaming console, headphones, and robot. I've been very good and helped my grandparents. Thank you!",ELECTRONICS,3,0.6,1,fr,chimney,"""""""[{""""""""item_name"""""""": """"""""gaming console"""""""""""
REQ_2025_00000996,2025-10-28T02:21:53.269Z,CH_MZ_42307,13.4698606944759,-15.492596520135145,Gambia,Africa/Kampala,"Hi Santa! My name is Tiffany and I am 12 years old. This year I want bicycle, skateboard, and tennis racket. I've been good and helped my mom. Thank you!",SPORTS,3,0.867,5,ja,mailbox,"""""""[{""""""""item_name"""""""": """"""""bicycle"""""""""""
REQ_2025_00000031,2025-10-28T02:41:06.378Z,CH_SB_13804,22.352999001464436,78.67125370331578,India,America/Los_Angeles,"Hi Santa! My name is Nicole and I am 9 years old. This year I want tennis racket, rollerblades, and skateboard. I've been very good and helped my brother. Thank you!",SPORTS,3,0.756,4,fr,mailbox,"""""""[{""""""""item_name"""""""": """"""""tennis racket"""""""""""
REQ_2025_00000921,2025-10-28T02:55:56.713Z,CH_BE_55738,22.177749012455813,113.55011641018416,Macao,Africa/Mbabane,"Santa, please bring me picture book for Christmas. I really need it because it would help me in school. I've been very good all year. From Michelle",BOOKS,3,0.974,4,fr,chimney,"""""""[{""""""""item_name"""""""": """"""""picture book"""""""""""
REQ_2025_00000864,2025-10-28T04:21:09.784Z,CH_VN_52215,49.46066172488514,-2.582109935595227,Guernsey,America/Barbados,"Hi Santa! My name is Adam and I am 9 years old. This year I want science kit, art supplies, and craft kit. I've been very good and helped my brother. Thank you!",CREATIVE,3,0.608,5,zh,mailbox,"""""""[{""""""""item_name"""""""": """"""""science kit"""""""""""
REQ_2025_00000891,2025-10-28T04:57:42.762Z,CH_LC_10975,39.326026938894046,-4.838680509065768,Spain,America/Paramaribo,"Santa, please bring me educational book for Christmas. I really need it because I want to learn. I've been kind all year. From Timothy",BOOKS,3,0.948,2,it,mailbox,"""""""[{""""""""item_name"""""""": """"""""educational book"""""""""""
REQ_2025_00000235,2025-10-28T05:14:33.820Z,CH_CY_22577,32.30356244193587,-64.75602790031249,Bermuda,Europe/Monaco,"Dear Santa, I have been very excellent this year. For Christmas, I would really like coloring book and maybe educational book. I promise to do my homework. Love, Barbara",BOOKS,3,0.667,5,en,chimney,"""""""[{""""""""item_name"""""""": """"""""coloring book"""""""""""
REQ_2025_00000206,2025-10-28T05:49:52.376Z,CH_SB_99957,49.484543910797775,31.270385343645103,Ukraine,Asia/Baku,"Santa, please bring me educational book for Christmas. I really need it because I want to learn. I've been good all year. From Amy",BOOKS,3,0.814,4,pt,stocking,"""""""[{""""""""item_name"""""""": """"""""educational book"""""""""""
REQ_2025_00000054,2025-10-28T06:07:24.815Z,CH_MG_21846,49.745389813121804,15.340409832649756,Czech Republic,Asia/Muscat,"Santa, please bring me soccer ball for Christmas. I really need it because I want to learn. I've been good all year. From Brandi",SPORTS,3,0.774,1,es,mailbox,"""""""[{""""""""item_name"""""""": """"""""soccer ball"""""""""""
REQ_2025_00000593,2025-10-28T06:36:21.787Z,CH_IE_38437,1.6158548245479132,10.517501062425637,Equatorial Guinea,Asia/Dili,"Santa, please bring me art supplies for Christmas. I really need it because my old one broke. I've been very good all year. From Robert",CREATIVE,3,0.612,2,de,chimney,"""""""[{""""""""item_name"""""""": """"""""art supplies"""""""""""
REQ_2025_00000148,2025-10-28T06:58:16.214Z,CH_CO_28569,33.875050163687554,35.84076283098295,Lebanon,America/Grenada,"Dear Santa, I have been very excellent this year. For Christmas, I would really like smartwatch and maybe tablet. I promise to be kind to others. Love, Kevin",ELECTRONICS,3,0.739,3,ja,tree,"""""""[{""""""""item_name"""""""": """"""""smartwatch"""""""""""
REQ_2025_00000169,2025-10-28T07:23:20.584Z,CH_NE_27984,41.6177306634019,21.71968586847806,North Macedonia,Pacific/Funafuti,"Hi Santa! My name is Vincent and I am 4 years old. This year I want bicycle, basketball, and rollerblades. I've been kind and helped my mom. Thank you!",SPORTS,3,0.881,2,ja,stocking,"""""""[{""""""""item_name"""""""": """"""""bicycle"""""""""""
REQ_2025_00000811,2025-10-28T09:55:10.896Z,CH_DJ_15596,45.36788100178277,15.655645024105107,Croatia,America/Lima,"Hi Santa! My name is Kathleen and I am 10 years old. This year I want educational book, comic book, and chapter book. I've been helpful and helped my dad. Thank you!",BOOKS,3,0.876,4,ja,mailbox,"""""""[{""""""""item_name"""""""": """"""""educational book"""""""""""
REQ_2025_00000434,2025-10-28T10:41:38.065Z,CH_LS_32713,-19.053965547738184,-169.862891758386,Niue,Europe/Riga,"Dear Santa, I have been very excellent this year. For Christmas, I would really like educational book and maybe chapter book. I promise to share with my siblings. Love, Michael",BOOKS,3,0.68,5,ja,chimney,"""""""[{""""""""item_name"""""""": """"""""educational book"""""""""""
REQ_2025_00000275,2025-10-28T11:12:36.576Z,CH_NP_55073,-23.3155085368859,-58.1727404329617,Paraguay,Europe/London,"Hi Santa! My name is John and I am 7 years old. This year I want educational book, comic book, and picture book. I've been good and helped my grandparents. Thank you!",BOOKS,3,0.715,5,en,mailbox,"""""""[{""""""""item_name"""""""": """"""""educational book"""""""""""
REQ_2025_00000977,2025-10-28T12:05:45.432Z,CH_CF_35502,-23.16777157671102,24.590540458058683,Botswana,Africa/Algiers,"Dear Santa, I have been very kind this year. For Christmas, I would really like chapter book and maybe coloring book. I promise to help with chores. Love, Lacey",BOOKS,3,0.818,5,es,stocking,"""""""[{""""""""item_name"""""""": """"""""chapter book"""""""""""
REQ_2025_00000217,2025-10-28T12:57:08.522Z,CH_UZ_96947,-12.820243949422242,45.153688949652235,Mayotte,Africa/Casablanca,"Dear Santa, I have been very good this year. For Christmas, I would really like comic book and maybe educational book. I promise to share with my siblings. Love, Jonathan",BOOKS,3,0.859,3,pt,mailbox,"""""""[{""""""""item_name"""""""": """"""""comic book"""""""""""
REQ_2025_00000838,2025-10-28T13:25:51.902Z,CH_DO_24664,34.91590030269121,32.88667246489569,Cyprus,Europe/Chisinau,"Dear Santa, I have been very very good this year. For Christmas, I would really like craft kit and maybe musical instrument. I promise to be kind to others. Love, Darrell",CREATIVE,3,0.996,5,en,chimney,"""""""[{""""""""item_name"""""""": """"""""craft kit"""""""""""
REQ_2025_00000257,2025-10-28T13:49:23.936Z,CH_SE_88311,52.214971812277064,19.134338531196054,Poland,America/Costa_Rica,"Santa, please bring me smartwatch for Christmas. I really need it because all my friends have one. I've been trying my best all year. From Rachel",ELECTRONICS,3,0.623,2,ja,mailbox,"""""""[{""""""""item_name"""""""": """"""""smartwatch"""""""""""
REQ_2025_00000806,2025-10-28T14:12:54.007Z,CH_LY_17361,46.825161998036236,103.85202673188833,Mongolia,Europe/Vilnius,"Santa, please bring me doll for Christmas. I really need it because my old one broke. I've been excellent all year. From Willie",TOYS,3,0.882,2,es,tree,"""""""[{""""""""item_name"""""""": """"""""doll"""""""""""
REQ_2025_00000708,2025-10-28T14:34:01.334Z,CH_GD_37149,-4.655551882819098,55.45263622234437,Seychelles,Europe/Podgorica,"Santa, please bring me puzzle for Christmas. I really need it because it would help me in school. I've been excellent all year. From Larry",TOYS,3,0.607,4,fr,stocking,"""""""[{""""""""item_name"""""""": """"""""puzzle"""""""""""
REQ_2025_00000035,2025-10-28T15:07:55.777Z,CH_GA_99687,3.7215456229268447,73.22306159736966,Maldives,Asia/Tokyo,"Santa, please bring me rollerblades for Christmas. I really need it because all my friends have one. I've been kind all year. From Melissa",SPORTS,3,0.84,1,en,stocking,"""""""[{""""""""item_name"""""""": """"""""rollerblades"""""""""""
REQ_2025_00000925,2025-10-28T16:58:13.240Z,CH_IN_80182,17.73595190878962,9.326933658738414,Niger,Europe/Malta,"Dear Santa, I have been very very good this year. For Christmas, I would really like comic book and maybe chapter book. I promise to be kind to others. Love, Jane",BOOKS,3,0.786,1,es,tree,"""""""[{""""""""item_name"""""""": """"""""comic book"""""""""""
REQ_2025_00000710,2025-10-28T18:36:00.471Z,CH_GH_98209,32.32634861826316,-83.11373414397366,Georgia,Africa/Banjul,"Dear Santa, I have been very trying my best this year. For Christmas, I would really like comic book and maybe coloring book. I promise to be kind to others. Love, Tabitha",BOOKS,3,0.756,4,en,chimney,"""""""[{""""""""item_name"""""""": """"""""comic book"""""""""""
REQ_2025_00000292,2025-10-28T19:11:14.099Z,CH_GN_84588,71.81441738302304,-40.43704468938224,Greenland,Asia/Jakarta,"Hi Santa! My name is Philip and I am 7 years old. This year I want coloring book, chapter book, and picture book. I've been excellent and helped my grandparents. Thank you!",BOOKS,3,0.967,1,pt,mailbox,"""""""[{""""""""item_name"""""""": """"""""coloring book"""""""""""
REQ_2025_00000034,2025-10-28T19:16:42.663Z,CH_DZ_89415,1.4383829832924913,38.43483934480536,Kenya,Indian/Mauritius,"Hi Santa! My name is John and I am 5 years old. This year I want rollerblades, bicycle, and skateboard. I've been kind and helped my sister. Thank you!",SPORTS,3,0.843,1,fr,stocking,"""""""[{""""""""item_name"""""""": """"""""rollerblades"""""""""""
REQ_2025_00000193,2025-10-28T20:48:11.390Z,CH_HR_50416,46.603836994570415,1.8888608091699701,France,America/Lima,"Santa, please bring me LEGO set for Christmas. I really need it because my old one broke. I've been excellent all year. From Steven",TOYS,3,0.914,4,ja,stocking,"""""""[{""""""""item_name"""""""": """"""""LEGO set"""""""""""
REQ_2025_00000527,2025-10-28T23:21:32.947Z,CH_CH_89452,11.813111744237677,-15.237127519108704,Guinea-Bissau,Africa/Djibouti,"Santa, please bring me craft kit for Christmas. I really need it because all my friends have one. I've been trying my best all year. From Kendra",CREATIVE,3,0.815,2,es,chimney,"""""""[{""""""""item_name"""""""": """"""""craft kit"""""""""""
REQ_2025_00000876,2025-10-28T23:36:52.739Z,CH_KW_29128,26.824842407877842,18.12164925180097,Libyan Arab Jamahiriya,America/Montevideo,"Hi Santa! My name is Isaac and I am 10 years old. This year I want action figure, stuffed animal, and doll. I've been helpful and helped my mom. Thank you!",TOYS,3,0.898,5,it,chimney,"""""""[{""""""""item_name"""""""": """"""""action figure"""""""""""
REQ_2025_00000877,2025-10-29T00:34:46.538Z,CH_IN_16673,17.7380257316643,9.320966211078202,Niger,Europe/Luxembourg,"Hi Santa! My name is Matthew and I am 3 years old. This year I want basketball, soccer ball, and rollerblades. I've been helpful and helped my sister. Thank you!",SPORTS,3,0.92,5,es,mailbox,"""""""[{""""""""item_name"""""""": """"""""basketball"""""""""""
REQ_2025_00000656,2025-10-29T01:37:24.719Z,CH_KR_29956,12.750953527724935,122.73128094837583,Philippines,Africa/Banjul,"Hi Santa! My name is Andrew and I am 9 years old. This year I want rollerblades, basketball, and soccer ball. I've been kind and helped my dad. Thank you!",SPORTS,3,0.958,5,pt,mailbox,"""""""[{""""""""item_name"""""""": """"""""rollerblades"""""""""""
